MF,Name,mean.log2.fc,p,signif,bact.cor.pearson,bactlm.p.adj,SIRIUS_molecularFormula,SIRIUS_name
HNeg_2810,Unknown,-1.7489835980481714,4.43e-4,TRUE,-0.19144445624885725,0.06475972328307959,NA,NA
HNeg_2873,Unknown,-0.939167460905888,0.0115,TRUE,-0.27308587922101657,0.06301085820306132,NA,NA
HNeg_2894,Unknown,-2.7559704947078996,0.00482,TRUE,-0.25822285602865636,0.07944672376501985,NA,NA
HNeg_2895,Unknown,-1.2013401040959037,0.00816,TRUE,-0.31149071059096245,0.03790168523026244,NA,NA
HNeg_2905,Unknown,-1.7261663194678978,0.00605,TRUE,-0.29794487586697344,0.04569653409571874,C15H19N12O3,null
HNeg_2973,Unknown,-3.324690109406763,0.0219,TRUE,-0.25844913766889877,0.014719860892251767,NA,NA
HNeg_3041,Unknown,-0.5006837757800695,0.0378,TRUE,-0.40598213342170003,0.005453444702197487,NA,NA
HNeg_3111,Unknown,-8.256929975630378,0.0251,TRUE,-0.3098518825408841,0.03874295912427577,NA,NA
HNeg_3117,UDP-N-acetylglucosamine,-0.7217803462045447,0.00486,TRUE,0.008855125769519665,0.9601856269980638,NA,NA
HNeg_354,Unknown,1.5143629205861413,0.0101,TRUE,-0.05062157939680064,0.7621795040629596,NA,NA
HNeg_361,Unknown,0.6658653487933275,0.043,TRUE,0.22672489086573852,0.12661751197940124,NA,NA
HNeg_425,Unknown,0.7254846357362323,0.0236,TRUE,-0.03949070205726819,0.816414675933194,NA,NA
HNeg_611,Unknown,1.7481173588611936,0.00122,TRUE,0.059661584732948705,0.7192607520417298,NA,NA
HNeg_647,Unknown,-1.440633893072283,7.42e-5,TRUE,-0.20658576553444666,0.16664954973273366,NA,NA
HNeg_651,Unknown,-0.6594692222109395,0.00115,TRUE,-0.21324816237594435,0.043764576685453,C2H5N4O3,NA
HNeg_787,Unknown,1.8528087858816116,0.00121,TRUE,0.11158206617355411,0.4765808490696001,NA,NA
HNeg_sky6,Adenosine monophosphate,-2.3755240390923418,0.0046,TRUE,0.15531595681962038,0.30662875127909966,NA,NA
HPos_1209,Unknown,-1.1921280003853882,0.00114,TRUE,-0.2815463882075272,0.05678643185651266,NA,NA
HPos_1230,(3-Carboxypropyl)trimethylammonium,0.6755747863641709,0.0269,TRUE,7.438220968963025e-4,0.995618584881043,NA,NA
HPos_1251,L-Lysine,0.5314262515390753,0.00336,TRUE,0.29053683055541407,0.05072097886019976,NA,NA
HPos_1256,Unknown,-0.7960022913954427,0.00579,TRUE,-0.25956351708131875,0.07792257264677026,NA,NA
HPos_1283,Unknown,-0.7799302949683248,0.0436,TRUE,-0.16279518484582703,0.2813005197692792,NA,NA
HPos_1381,Unknown,-1.205051087182784,9.07e-4,TRUE,-0.13138620488591785,0.3951890127977549,NA,NA
HPos_1396,Unknown,-1.081756355787028,0.0264,TRUE,-0.087023186759189,0.5771272146741817,NA,NA
HPos_1519,Betonicine,0.5640426740996068,0.0451,TRUE,0.18746086059173872,0.21138913768122278,NA,NA
HPos_159,Unknown,-1.2635910876937988,5.85e-4,TRUE,-0.21942945004323827,0.1397473335316262,NA,NA
HPos_1786,Unknown,0.557640033203487,0.0173,TRUE,0.2312397243693072,0.11950828175029325,NA,NA
HPos_1874,Unknown,-1.223591221319927,0.00178,TRUE,-0.28398386748745763,0.0547499603667713,NA,NA
HPos_1925,Unknown,-1.377626530684242,0.00805,TRUE,-0.31773673432341126,0.034300329487165285,NA,NA
