SampID,MF,Area
200929_Smp_A_9V_T0,"DL-Proline, 2H7",84204096
200929_Poo_TruePooMortality_Full1,"DL-Valine, 2H8",12272721
200929_Poo_TruePooMortality_Full2,"DL-Valine, 2H8",12967044
200929_Poo_TruePooMortality_Full3,"DL-Valine, 2H8",15065615
200929_Poo_TruePooMortality_Full4,"DL-Valine, 2H8",16287699
200929_Poo_TruePooMortality_Full5,"DL-Valine, 2H8",22761760
200929_Poo_TruePooMortality_Full6,"DL-Valine, 2H8",10448429
200929_Poo_TruePooMortality_Half1,"DL-Valine, 2H8",12765801
200929_Poo_TruePooMortality_Half2,"DL-Valine, 2H8",10338187
200929_Poo_TruePooMortality_Half3,"DL-Valine, 2H8",11084708
200929_Poo_TruePooMortality_Half4,"DL-Valine, 2H8",11348872
200929_Poo_TruePooMortality_Half5,"DL-Valine, 2H8",15715979
200929_Poo_TruePooMortality_Half6,"DL-Valine, 2H8",9538684
200929_Smp_A_1C_T0,"DL-Valine, 2H8",17724004
200929_Smp_A_1C_T12,"DL-Valine, 2H8",14107815
200929_Smp_A_1C_T18,"DL-Valine, 2H8",12873299
200929_Smp_A_1C_T24,"DL-Valine, 2H8",12742230
200929_Smp_A_1C_T30,"DL-Valine, 2H8",16229470
200929_Smp_A_1C_T36,"DL-Valine, 2H8",11813556
200929_Smp_A_1C_T42,"DL-Valine, 2H8",15025653
200929_Smp_A_1C_T48,"DL-Valine, 2H8",14023172
200929_Smp_A_1C_T6,"DL-Valine, 2H8",15492598
200929_Smp_A_3LV_T0,"DL-Valine, 2H8",19233208
200929_Smp_A_3LV_T12,"DL-Valine, 2H8",12226258
200929_Smp_A_3LV_T24,"DL-Valine, 2H8",12217885
200929_Smp_A_3LV_T36,"DL-Valine, 2H8",12829438
200929_Smp_A_3LV_T48,"DL-Valine, 2H8",12088015
200929_Smp_A_4LGV_T0,"DL-Valine, 2H8",17895232
200929_Smp_A_4LGV_T12,"DL-Valine, 2H8",16998876
200929_Smp_A_4LGV_T24,"DL-Valine, 2H8",17507330
200929_Smp_A_4LGV_T36,"DL-Valine, 2H8",11594721
200929_Smp_A_4LGV_T48,"DL-Valine, 2H8",11457201
200929_Smp_A_6HV_T0,"DL-Valine, 2H8",19880728
200929_Smp_A_6HV_T12,"DL-Valine, 2H8",14604318
200929_Smp_A_6HV_T24,"DL-Valine, 2H8",11934084
200929_Smp_A_6HV_T36,"DL-Valine, 2H8",10160055
200929_Smp_A_6HV_T48,"DL-Valine, 2H8",18228990
200929_Smp_A_8G_T0,"DL-Valine, 2H8",18459702
200929_Smp_A_8G_T48,"DL-Valine, 2H8",10776615
200929_Smp_A_9V_T0,"DL-Valine, 2H8",19638228
200929_Poo_TruePooMortality_Full1,"Glycine betaine, 13C5, 15N",1062151296
