SampID,time,biorep,treatment,tot_metab_C_nM,total.C,Pro.C.perc,tot.C.nM,tot_metab_C_nM/tot.C.nM
B_1C_T18,18,B,C,3923.563536995526,704152707.5123519,0.9469559392907076,58625.65211159369,0.06692571247697235
B_1C_T24,24,B,C,4096.624061380955,853041761.5214404,0.9486246341766901,71021.71022574643,0.05768129278159607
B_1C_T30,30,B,C,5217.164592298262,1104854288.3879826,0.9579472784204995,91986.86940204668,0.056716405571925914
B_1C_T36,36,B,C,9783.478258833564,1233882375.1127472,0.9430733204296199,102729.36267694175,0.0952354614483511
B_1C_T42,42,B,C,7571.276832688547,1047508318.8529671,0.922259443671528,87212.41519048932,0.08681420891912427
B_1C_T48,48,B,C,7975.064811223455,1168001403.9990315,0.9268517734822687,97244.30971601297,0.08201060642533639
B_1C_T6,6,B,C,2150.168300174338,646657524.7841202,0.9713613774101428,53838.77485505955,0.03993716992934645
B_3LV_T0,0,B,LV,1840.386113553214,451966595.91659296,0.9756453477907074,37629.38938611215,0.04890821093771041
B_3LV_T12,12,B,LV,2866.0901402494424,626803389.0340688,0.9452727636404848,52185.77878894921,0.054920903870009155
B_3LV_T24,24,B,LV,4550.165131404826,809613488.9159704,0.9433858719686748,67406.0019079153,0.0675038572621604
B_3LV_T36,36,B,LV,7427.615730430174,961785002.6437562,0.9045157295616245,80075.34781814639,0.09275783287633693
B_3LV_T48,48,B,LV,3333.1674743651415,478508361.60185146,0.534761189557529,39839.17755406306,0.08366556939690646
B_6HV_T0,0,B,HV,1529.879310211403,416039712.3215426,0.9664204191673735,34638.22432116749,0.04416737116851832
B_6HV_T12,12,B,HV,2098.204425462424,585594651.2137089,0.9540977796294109,48754.86231069094,0.04303579840081572
B_6HV_T24,24,B,HV,1801.4509636573327,397314222.35804355,0.8664663942689362,33079.19593356454,0.05445872890245953
B_6HV_T36,36,B,HV,2099.793299009873,NA,NA,NA,NA
B_6HV_T48,48,B,HV,2169.4405463914673,NA,NA,NA,NA
C_1C_T0,0,C,C,2664.782114777688,493962821.6494577,0.9567808394422823,41125.86975684437,0.06479576311779284
C_1C_T12,12,C,C,5962.3557384026735,695728544.9242455,0.9582678229640024,57924.281485658605,0.10293361584258728
C_1C_T18,18,C,C,5021.26983700326,694021667.5859661,0.9580827827035706,57782.171974520534,0.08689998429303464
C_1C_T24,24,C,C,5226.81160797468,780672344.2643145,0.9528821729239615,64996.44861079965,0.08041687999405872
C_1C_T30,30,C,C,5703.241274817458,989480621.4191533,0.9652715439728574,82381.20234944246,0.06922988633530251
C_1C_T36,36,C,C,8582.218803130225,1012613587.5148934,0.9597070555870992,84307.18404087033,0.10179700461789529
C_1C_T42,42,C,C,8427.598420625176,1155986071.3490045,0.9605401742362089,96243.94899250726,0.08756496911074667
C_1C_T48,48,C,C,6498.5825114897825,1290820611.7473319,0.958877244732855,107469.87026453517,0.060468878351612756
C_1C_T6,6,C,C,2363.071832639267,660920946.5816474,0.9505092660083524,55026.30476909895,0.04294440345495077
C_3LV_T0,0,C,LV,2255.76999250836,471072908.3541053,0.9529002880503986,39220.12391591918,0.057515626348971276
C_3LV_T12,12,C,LV,5962.7075471598255,681085059.1348691,0.9526917576665879,56705.10857837558,0.10515291649461185
C_3LV_T24,24,C,LV,5063.73419875401,802264245.3764644,0.949136689569532,66794.12583269208,0.07581107074352321
C_3LV_T36,36,C,LV,6387.7121079379,887143611.5968288,0.928847185473977,73860.9284486578,0.08648296524431218
C_6HV_T0,0,C,HV,3215.3040679306937,432067648.1201068,0.9413727250447272,35972.66240280634,0.0893818764907392
C_6HV_T12,12,C,HV,4359.969463162135,647287340.9604775,0.9327069397462592,53891.21146952606,0.08090316295130187
C_6HV_T24,24,C,HV,2616.3747557328556,331018566.5046476,0.6983636633296828,27559.617559291288,0.09493508936051206
C_6HV_T36,36,C,HV,1457.7420618766434,NA,NA,NA,NA
C_6HV_T48,48,C,HV,1063.357291744959,NA,NA,NA,NA
