Compound,SampID,Area,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL
Vitamin B5,C_4LGV_T36,2063137,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300
Vitamin B5,C_4LGV_T48,1541064,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300
Vitamin B5,C_6HV_T0,371138,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50
Vitamin B5,C_6HV_T12,398611,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50
Vitamin B5,C_6HV_T24,6779299,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100
Vitamin B5,C_6HV_T36,11326191,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100
Vitamin B5,C_6HV_T48,11619575,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100
Vitamin B5,E_2LG_T0,154382,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50
Vitamin B5,E_2LG_T24,444403,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50
Vitamin B5,E_2LG_T36,1113537,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100
Vitamin B5,E_2LG_T48,340779,T48,48,E,LG,2,149000,57900,25600,32400,71600,0,200
Vitamin B5,E_3LG_T0,151491,T0,0,E,LG,3,15000000,1170000,522000,651000,733,0,50
Vitamin B5,E_3LG_T24,147549,T24,24,E,LG,3,12500000,1310000,724000,586000,14800,0,50
Vitamin B5,E_3LG_T36,514652,T36,36,E,LG,3,3670000,209000,64500,145000,34900,0,100
Vitamin B5,E_3LG_T48,736770,T48,48,E,LG,3,195000,45900,15900,30000,69000,0,200
Vitamin B5,E_4LG_T0,236924,T0,0,E,LG,4,12900000,1270000,597000,677000,525,0,50
Vitamin B5,E_4LG_T24,350357,T24,24,E,LG,4,11900000,1470000,790000,685000,10800,0,50
Vitamin B5,E_4LG_T36,857553,T36,36,E,LG,4,4710000,582000,218000,364000,23700,0,100
Vitamin B5,E_4LG_T48,481244,T48,48,E,LG,4,536000,58100,16000,42200,55400,0,200
Vitamin B5,E_8G_T48,701834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
