SampID,Vol.filt.mL,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,MF,FinalBMIS,FinalRSD,Area,Adjusted_Area,Name,RT,mz,MS2,fraction,Predicted_Adduct_Ion,SIRIUS_molecularFormula,SIRIUS_name
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2064,"Sulfoacetic acid, 13C2",0.1341038568903021,14036,13096.760630887842,Unknown,11.593,253.05652,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2071,Inj_vol,0.21966361483377603,54412,54412,Unknown,1.759,253.21718,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2101,Inj_vol,0.14462864423031738,17844,17844,Unknown,2.566,257.17572,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2117,Inj_vol,0.21809933937214193,49295,49295,D-Fructose 6-phosphate,12.705,259.02209,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2138,Inj_vol,0.09826924255560446,392321,392321,Unknown,2.385,261.12808,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2158,"Sulfoacetic acid, 13C2",0.21032543617353597,9750,9097.564559073557,Unknown,9.616,265.0567,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2171,"DL-Proline, 2H7",0.0830783312369503,136981408,137702620.44842064,Unknown,10.635,267.07217,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2173,"Cytosine, 13C2, 15N3",0.07860656480353084,340888,499721.4818484721,Inosine,8.003,267.07361,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2184,Inj_vol,0.22966346040817565,15991,15991,Unknown,10.647,268.20483,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2187,"Adenine, 15N2",0.11000255927571248,90311,86302.43156360659,Unknown,1.807,269.21228,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2210,Inj_vol,0.2888166296987235,13070,13070,Unknown,9.707,273.12085,FALSE,HILIC_Neg,NA,NA,NA
