MF,Name,final_fc_determination,mz,RT,Fraction,SIRUS_adduct,SIRIUS_molecular_formula,Classyfire_class,Classyfire_class_probability,Classyfire_most_specific_classification,Classyfire_most_specific_classification_probability,SIRIUS_predicted_identity,SIRIUS_identity_confidence_score
HNeg_651,Unknown,Decreased,132.02922,11.538,HNeg,[M - H]-,C2H5N4O3,Carboxylic acids and derivatives,0.9876219630241394,Alpha amino acids and derivatives,0.7204579710960388,NA,NA
HNeg_682,Unknown,Not Changed,134.04597,5.533,HNeg,[M - H]-,C4H9NO4,NA,NA,NA,NA,NA,NA
RP_10543,Unknown,Not Changed,245.18597,2.369,RP,[M + H]+,C12H24N2O3,Carboxylic acids and derivatives,0.9999961853027344,Dipeptides,0.9999812841415404,isoleucylisoleucine,0.1854734611019268
RP_10987,Unknown,Not Changed,252.10916,1.27,RP,[M + H]+,C10H13N5O3,Purine nucleosides,0.9548155069351196,Purine 2'-deoxyribonucleosides,0.8186590671539307,2''-dA threo,0.32660688287560063
RP_11047,Unknown,Not Changed,253.11819,1.531,RP,[M + H]+,C12H16N2O4,Carboxylic acids and derivatives,0.9999951124191284,Dipeptides,0.9995701909065248,Serinylphenylalanine,0.7551569615241231
RP_12203,Unknown,Not Changed,268.10394,1.096,RP,[M + H]+,C10H13N5O4,Purine nucleosides,0.9995908141136168,Purine 2'-deoxyribonucleosides,0.9955735206604004,bmse000003,0.3658131293023332
RP_12203,Unknown,Not Changed,268.10394,1.096,RP,[M + H]+,C10H13N5O4,NA,NA,NA,NA,NA,NA
RP_12205,Unknown,Not Changed,268.10422,1.425,RP,[M + H]+,C10H13N5O4,Purine nucleosides,0.9995908141136168,Purine 2'-deoxyribonucleosides,0.9955735206604004,bmse000003,0.3658131293023332
RP_12205,Unknown,Not Changed,268.10422,1.425,RP,[M + H]+,C10H13N5O4,NA,NA,NA,NA,NA,NA
RP_12279,Unknown,Not Changed,269.11325,1.241,RP,[M + H]+,C12H16N2O5,Carboxylic acids and derivatives,0.9999942779541016,Dipeptides,0.9998879432678224,seryltyrosine,0.7154630318217314
RP_12527,Unknown,Not Changed,273.08902,1.09,RP,[M + H]+,C12H17O5P,NA,NA,NA,NA,NA,NA
RP_13205,Unknown,Not Changed,279.1705,3.859,RP,[M + H]+,C15H22N2O3,Carboxylic acids and derivatives,0.9999994039535522,Dipeptides,0.9999232292175292,isoleucylphenylalanine,0.23245354393197898
RP_13590,Unknown,Not Changed,284.09918,1.171,RP,[M + H]+,C10H13N5O5,Purine nucleosides,0.9995967745780944,Purine nucleosides,0.9995967745780944,Guanosin,0.40551474786562364
RP_1379,Unknown,Not Changed,120.08104,1.157,RP,[M + H]+,C8H9N,Indoles and derivatives,0.8950149416923523,Indolines,0.927497148513794,Indoline,0.31758173408538504
RP_14640,Methylthioadenosine,Not Changed,298.09698,2.297,RP,[M + H]+,C11H15N5O3S,5'-deoxyribonucleosides,1,5'-deoxy-5'-thionucleosides,0.996195673942566,Vitamin L2,0.6376819140867096
RP_1634,Unknown,Not Changed,127.05042,1.446,RP,[M + H]+,C5H6N2O2,Diazines,0.7123780250549316,Pyrimidones,0.7015169262886047,thymine,0.3588902216256368
RP_1937,Unknown,Not Changed,136.06187,1.093,RP,[M + H]+,C5H5N5,Imidazopyrimidines,0.6022182106971741,Imidazopyrimidines,0.6022182106971741,adenine,0.48205635535143726
RP_1964,Unknown,Not Changed,137.04588,1.118,RP,[M + H]+,C5H4N4O,Imidazopyrimidines,0.99631929397583,6-oxopurines,0.8833584785461426,Sarcine,0.1654502542927876
RP_1965,Unknown,Not Changed,137.04591,1.317,RP,[M + H]+,C5H4N4O,Imidazopyrimidines,0.99631929397583,6-oxopurines,0.8833584785461426,Sarcine,0.1654502542927876
RP_2980,Unknown,Not Changed,152.05673,1.425,RP,[M + H]+,C5H5N5O,Imidazopyrimidines,0.9999173879623412,Purinones,0.847112238407135,Dew Pearl,0.4393526323878295
RP_2981,Unknown,Not Changed,152.05678,1.17,RP,[M + H]+,C5H5N5O,Imidazopyrimidines,0.9999173879623412,Purinones,0.847112238407135,Dew Pearl,0.4393526323878295
RP_3769,Unknown,Decreased,164.05664,1.168,RP,[M + H]+,C6H5N5O,Pteridines and derivatives,0.9925922155380248,Pterins and derivatives,0.8021960258483887,Pterine,0.3741476224763264
RP_3959,Phenylalanine,Not Changed,166.08627,1.157,RP,[M + H3N + H]+,C9H8O2,Carboxylic acids and derivatives,0.9878165125846864,Phenylalanine and derivatives,0.771405041217804,Sabiden,0.4646897302443787
RP_5098,Unknown,Decreased,182.06717,1.302,RP,[M + H]+,C6H7N5O2,Diazines,0.993374526500702,Aminopyrimidines and derivatives,0.853400707244873,null,0.10955294530151945
RP_5356,Unknown,Decreased,186.03874,1.168,RP,[M + Na]+,C6H5N5O,NA,NA,NA,NA,NA,NA
RP_5674,Unknown,Decreased,188.07063,2.023,RP,[M + H]+,C11H9NO2,Indoles and derivatives,0.6298712491989136,Indoles,0.7563761472702026,3-indoleacrylate,0.15267576942692354
RP_5998,Unknown,Not Changed,194.06735,1.739,RP,[M + H]+,C7H7N5O2,Pteridines and derivatives,0.9912288188934326,Pterins and derivatives,0.9435208439826964,3-methyl isoxanthopterin,0.04578450501232379
RP_6193,Unknown,Decreased,196.0831,1.672,RP,[M + H]+,C7H9N5O2,Imidazopyrimidines,0.9997583031654358,Hypoxanthines,0.8353051543235779,null,0.1483908555794939
RP_6338,Unknown,Decreased,198.06224,1.305,RP,[M + H]+,C6H7N5O3,Diazines,0.996182143688202,Aminopyrimidines and derivatives,0.9501804113388062,null,0.3853327865916189
RP_6755,Unknown,Not Changed,203.13907,1.124,RP,[M + H]+,C9H18N2O3,Carboxylic acids and derivatives,0.9999995231628418,Dipeptides,0.9973714351654052,alanylleucine,0.5372659035446773
RP_6755,Unknown,Not Changed,203.13907,1.124,RP,[M + H]+,C9H18N2O3,Carboxylic acids and derivatives,0.9999996423721312,Dipeptides,0.9999264478683472,alanylisoleucine,0.13652551416213854
RP_6755,Unknown,Not Changed,203.13907,1.124,RP,[M + H]+,C9H18N2O3,Carboxylic acids and derivatives,0.999996542930603,Dipeptides,0.9999487400054932,isoleucylalanine,0.16878523229172135
RP_6828,Tryptophan,Not Changed,205.09718,2.023,RP,[M + H3N + H]+,C11H9NO2,Carboxylic acids and derivatives,0.9999308586120604,Alpha amino acids,0.9858320951461792,Pacitron,0.5047014437199252
RP_8545,Unknown,Decreased,221.06693,2.557,RP,[M + H]+,C9H8N4O3,Diazines,0.9799704551696776,Pyrimidones,0.9536821246147156,null,0.28785531268318004
RP_8661,Unknown,Decreased,222.09846,3.413,RP,[M + H]+,C9H11N5O2,Pteridines and derivatives,0.9958451390266418,Pterins and derivatives,0.9879427552223206,Isosepiapterin,0.21255932354218826
RP_8858,Unknown,Not Changed,223.0826,2.481,RP,[M + H]+,C9H10N4O3,Imidazopyrimidines,0.8094884157180786,Xanthines,0.7241684198379517,null,0.13737648545238085
RP_8868,Unknown,Not Changed,223.10771,1.567,RP,[M + H]+,C11H14N2O3,Carboxylic acids and derivatives,0.9999997615814208,Dipeptides,0.9985561966896056,Maybridge1_006768,0.879162783739805
RP_9545,Unknown,Not Changed,231.17056,1.42,RP,[M + H]+,C11H22N2O3,Carboxylic acids and derivatives,0.9999990463256836,Dipeptides,0.999948501586914,Valylleucine,0.2239186287476859
RP_9939,Unknown,Not Changed,237.12331,1.679,RP,[M + H]+,C12H16N2O3,Carboxylic acids and derivatives,0.999998927116394,Dipeptides,0.9928066730499268,Spectrum_000420,0.7700924104344772
