Time,Treatment,Rep,Pro.count,BacSml.count,BacLrg.count,BacTot.count,Phage.abun,Pro.C,BacSml.C,BacLrg.C,BacTot.C,TotMicrobial.C,Pro.C.Fraction
18,C,C,20100000,867000,874000,1740000,0,664930210.5373349,10353588.946731225,18737868.10190002,29091457.048631243,694021667.5859661,0.9580827827035706
18,LV,A,20200000,531000,900000,1430000,436000,632781873.8384497,6203115.516539953,19942110.097562283,26145225.614102237,658927099.452552,0.9603215201866424
18,LV,B,19300000,804000,1700000,2500000,788000,662376175.9093766,9944823.874659324,40230404.62299843,50175228.49765775,712551404.4070344,0.929583706961588
18,LV,C,18300000,850000,1110000,1960000,1880000,601017359.0837463,10411093.00594478,23427100.360779725,33838193.366724506,634855552.4504708,0.946699381873384
18,HV,A,14600000,513000,1050000,1560000,50200000,470082203.1634385,6645764.448607307,23132225.569507603,29777990.01811491,499860193.1815534,0.9404273626419792
18,HV,B,14500000,508000,1410000,1910000,103000000,545631270.7121954,6479541.923571534,31353680.22026379,37833222.14383533,583464492.8560307,0.9351576272299904
18,HV,C,12900000,1120000,2300000,3420000,NA,458569212.20735914,15038136.513062898,50046664.16017111,65084800.673234,523654012.8805931,0.875710299028922
20,C,A,22800000,NA,NA,NA,NA,679374317.3406911,NA,NA,NA,NA,NA
20,C,B,21000000,NA,NA,NA,NA,664456412.1915303,NA,NA,NA,NA,NA
20,C,C,22400000,NA,NA,NA,NA,671806231.3170947,NA,NA,NA,NA,NA
20,LV,A,21100000,NA,NA,NA,NA,606893271.0729324,NA,NA,NA,NA,NA
20,LV,B,22800000,NA,NA,NA,NA,713412545.2065672,NA,NA,NA,NA,NA
20,LV,C,22800000,NA,NA,NA,NA,668016294.1169182,NA,NA,NA,NA,NA
20,HV,A,14800000,NA,NA,NA,NA,455463987.8016057,NA,NA,NA,NA,NA
20,HV,B,14200000,NA,NA,NA,NA,514282970.4429332,NA,NA,NA,NA,NA
20,HV,C,11700000,NA,NA,NA,NA,383352483.0044599,NA,NA,NA,NA,NA
22,C,A,23900000,NA,NA,NA,NA,639375152.62841,NA,NA,NA,NA,NA
22,C,B,23900000,NA,NA,NA,NA,703628998.6009823,NA,NA,NA,NA,NA
22,C,C,26200000,NA,NA,NA,NA,738314775.9599341,NA,NA,NA,NA,NA
22,LV,A,23800000,NA,NA,NA,NA,633416914.0628273,NA,NA,NA,NA,NA
22,LV,B,23500000,NA,NA,NA,NA,675741297.4702551,NA,NA,NA,NA,NA
22,LV,C,26500000,NA,NA,NA,NA,727572373.3981154,NA,NA,NA,NA,NA
22,HV,A,15000000,NA,NA,NA,NA,428612325.7127347,NA,NA,NA,NA,NA
22,HV,B,12500000,NA,NA,NA,NA,419186931.5049872,NA,NA,NA,NA,NA
22,HV,C,9610000,NA,NA,NA,NA,314274841.6033664,NA,NA,NA,NA,NA
24,C,A,28300000,444000,889000,1330000,0,778431831.5641679,4859047.135389953,19942715.284614597,24801762.42000455,803233593.9841725,0.9691226031807464
24,C,B,27500000,878000,1470000,2350000,0,809216428.9607157,9939145.955545625,33886186.605179146,43825332.560724765,853041761.5214404,0.94862463417669
24,C,C,26500000,947000,1210000,2150000,0,743888759.744223,10540546.108276747,26243038.41181482,36783584.52009156,780672344.2643145,0.9528821729239616
24,LV,A,25100000,606000,1050000,1650000,1190000,665334989.5265335,6866883.0444792975,23380796.091856252,30247679.13633555,695582668.662869,0.956514616451728
24,LV,B,26300000,854000,1490000,2350000,1760000,763777927.1985939,10131197.864822973,35704363.852553606,45835561.717376575,809613488.9159704,0.9433858719686748
24,LV,C,27900000,1130000,1300000,2430000,2430000,761458430.0166161,12839895.888099104,27965919.471749123,40805815.35984823,802264245.3764644,0.949136689569532
24,HV,A,12900000,407000,1720000,2130000,184000000,357485406.3467043,5542837.9536962155,41718652.48021919,47261490.43391541,404746896.78061974,0.8832319881638722
