rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
65	C13H24N4O5	[M + H]+	C13H24N4O5	66.31159046829613	63.34279363212164	2.9687968361744916	20	0.8202013045743105	3.9607451080778833	3.9607451080778833	1.3453672737152975		317.18237	70.183	115_201006_Poo_TruePooMortality_DDApos_115
66	C12H24O8	[M + H]+	C12H24O8	66.24440968998357	62.79706102618169	3.4473486638018804	20	0.9106891285483022	2.13497688969664	2.3658300471029587	1.4184314550669652		297.15482	106.221	164_201006_Poo_TruePooMortality_DDApos_164
67	C4H6N2O	[M + H]+	C4H6N2O	66.09078537679854	66.09078537679854	0.0	14	0.928907252593793	13.247939149050787	13.247939149050787	5.478174063010569		99.05583	1079.512	311_201006_Poo_TruePooMortality_DDApos_311
68	C8H16N2O3	[M + H]+	C8H16N2O3	65.50239717170956	62.62704534198685	2.8753518297227094	10	0.9749304846728029	8.695402118098793	8.695402118098793	1.39047222392967		189.12363	64.398	86_201006_Poo_TruePooMortality_DDApos_86
69	C16H30N4O5	[M + H]+	C16H30N4O5	65.24465522309838	62.27614997389925	2.9685052491991275	16	0.8310985201576476	6.781604337507665	6.781604337507665	1.8281084054978165		359.22955	122.498	177_201006_Poo_TruePooMortality_DDApos_177
70	C16H32O10	[M + H3N + H]+	C16H35NO10	64.84464326789538	61.24307091151886	3.6015723563765176	12	0.6904044341500062	4.513917298231336	4.513917298231336	1.7708865152944848		402.23409	191.851	205_201006_Poo_TruePooMortality_DDApos_205
71	C12H27NO7	[M + H]+	C12H27NO7	64.75457736501994	59.318665210122774	5.435912154897166	11	0.6537696003542756	2.4012315856436373	2.4012315856436373	1.3863849688122591		298.18644	82.692	139_201006_Poo_TruePooMortality_DDApos_139
72	C14H30O7	[M + H3N + H]+	C14H33NO7	64.50824038046412	58.700928085917816	5.8073122945463	11	0.8971707195965657	1.558642505967816	1.558642505967816	1.4642765747018598		328.23346	105.374	163_201006_Poo_TruePooMortality_DDApos_163
73	C13H17N3O4	[M + H]+	C13H17N3O4	64.4462447153613	61.29605731506629	3.1501874002950125	21	0.8937462644898111	1.7325627756463757	1.7325627756463757	1.7374573853567647		280.12967	95.957	154_201006_Poo_TruePooMortality_DDApos_154
74	C5H9NO4	[M + H]+	C5H9NO4	63.55884332358854	63.55884332358854	0.0	8	0.9485896231099454	6.575344286984066	6.575344286984066	0.5204025546113961		148.06051	45.336	26_201006_Poo_TruePooMortality_DDApos_26
75	C18H36O11	[M + H3N + H]+	C18H39NO11	63.37660850678216	63.37660850678216	0.0	24	0.658615776300023	1.575883018287628	1.8138989124893614	2.382272946396231		446.26065	234.914	215_201006_Poo_TruePooMortality_DDApos_215
76	C10H21NO5	[M + H]+	C10H21NO5	62.945567433110725	57.43864849265104	5.506918940459682	30	0.9067899903001428	5.545890791720827	5.545890791720827	0.8272557573091208		236.14944	45.95	28_201006_Poo_TruePooMortality_DDApos_28
77	C6H7N5O3	[M + H]+	C6H7N5O3	62.84358279583559	62.84358279583559	0.0	21	0.8552675194055872	2.0085461763227626	2.9029876441545834	1.560278367088397		198.06247	78.328	129_201006_Poo_TruePooMortality_DDApos_129
