Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
B12,230511_Smp_A_3LV_T36,Me-B12,7.28,66,42,358,#N/A,B12
B12,230511_Smp_A_3LV_T48,Me-B12,7.29,77,0,138,#N/A,B12
B12,230511_Smp_A_4LGV_T0,Me-B12,7.31,186,32,287,#N/A,B12
B12,230511_Smp_A_4LGV_T12,Me-B12,7.31,434,6,290,#N/A,B12
B12,230511_Smp_A_4LGV_T24,Me-B12,7.31,260,0,266,#N/A,B12
B12,230511_Smp_A_4LGV_T36,Me-B12,7.32,3537,254,1836,#N/A,B12
B12,230511_Smp_A_4LGV_T48,Me-B12,7.25,1858,193,1050,#N/A,B12
B12,230511_Smp_A_6HV_T0,Me-B12,7.3,504,27,574,#N/A,B12
B12,230511_Smp_A_6HV_T12,Me-B12,7.25,1176,17,874,#N/A,B12
B12,230511_Smp_A_6HV_T24,Me-B12,7.3,111,114,152,#N/A,B12
B12,230511_Smp_A_6HV_T36,Me-B12,7.3,1195,1696,833,#N/A,B12
B12,230511_Smp_A_6HV_T48,Me-B12,7.29,17,0,21,#N/A,B12
B12,230511_Smp_A_8G_T0,Me-B12,7.31,334,0,339,#N/A,B12
B12,230511_Smp_A_8G_T48,Me-B12,7.29,321,19,450,#N/A,B12
B12,230511_Smp_A_9V_T0,Me-B12,7.31,157,147,223,#N/A,B12
B12,230511_Smp_B_1C_T0,Me-B12,7.31,388,0,467,#N/A,B12
B12,230511_Smp_B_1C_T12,Me-B12,7.29,66,24,90,#N/A,B12
B12,230511_Smp_B_1C_T18,Me-B12,7.32,135,116,225,#N/A,B12
B12,230511_Smp_B_1C_T24,Me-B12,7.33,110,30,94,#N/A,B12
B12,230511_Smp_B_1C_T30,Me-B12,7.25,357,0,275,#N/A,B12
B12,230511_Smp_B_1C_T36,Me-B12,7.31,1769,3234,1927,#N/A,B12
B12,230511_Smp_B_1C_T42,Me-B12,7.32,555,26,613,#N/A,B12
