rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
39	C5H10N2O3	[M + H]+	C5H10N2O3	62.27254630274189	57.54547411671664	4.727072186025245	8	0.9177341851530847	5.416862120757821	5.416862120757821	-0.4327794346460831		147.07635	659.974	158_200929_Poo_TruePooMortality_DDApos_158
40	C14H30O8	[M + H3N + H]+	C14H33NO8	62.238655463522065	62.238655463522065	0.0	16	0.6229075426309696	0.6416240586668817	1.4061751163409388	0.06384686433670782		344.22792	151.627	19_200929_Poo_TruePooMortality_DDApos_19
41	C11H23N5O3	[M + H]+	C11H23N5O3	61.21439053372042	58.62314307196879	2.591247461751631	18	0.9135914349861188	3.1532857274869377	3.1532857274869377	0.26593761380658304		274.18744	635.74	138_200929_Poo_TruePooMortality_DDApos_138
42	C9H11NO3	[M + H]+	C9H11NO3	61.14723357454963	57.887998523650154	3.2592350508994765	7	0.791181583796503	0.597049736750283	0.7352166216072095	0.2903654118855355		182.08122	570.227	116_200929_Poo_TruePooMortality_DDApos_116
43	C9H18N2O4	[M + H]+	C9H18N2O4	59.23754474341247	56.08447848579801	3.153066257614464	16	0.917964422726596	5.20733051582616	5.20733051582616	-0.05568627591220142		219.13392	167.266	35_200929_Poo_TruePooMortality_DDApos_35
44	C12H25N5O3	[M + H]+	C12H25N5O3	58.86848363278697	58.86848363278697	0.0	27	0.8209617602858498	2.3455817553792047	2.357042725838145	-0.15162918256610966		288.20297	624.75	136_200929_Poo_TruePooMortality_DDApos_136
45	C6H15NO3	[M + H]+	C6H15NO3	56.52507434712086	53.58274931942367	2.9423250276971853	8	0.9505829773155847	3.6502684436538244	3.6502684436538244	0.32321392588222464		150.11252	279.329	58_200929_Poo_TruePooMortality_DDApos_58
46	C5H10N2O3	[M + H]+	C5H10N2O3	56.195513602266644	51.48062802067613	4.714885581590512	6	0.9276355903072193	3.9005709452975013	3.9005709452975013	-0.22528459290763508		147.07639	661.132	159_200929_Poo_TruePooMortality_DDApos_159
47	C6H14N4O2	[M + H]+	C6H14N4O2	54.670249391243836	52.34124221913378	2.3290071721100505	10	0.9374161546241443	2.617057715040837	2.617057715040837	0.46638782921621635		175.11903	1236.453	193_200929_Poo_TruePooMortality_DDApos_193
48	C8H13N5O	[M + H]+	C8H13N5O	54.62332156303976	52.47871745999484	2.1446041030449168	8	0.6782323068687256	0.5802168469951579	1.537742963272108	0.3455036684750858		196.11935	1291.748	205_200929_Poo_TruePooMortality_DDApos_205
49	C10H20N2O4	[M + H]+	C10H20N2O4	54.5123191258005	51.23570321218731	3.276615913613193	15	0.8352340287838309	5.784457937950827	5.784457937950827	0.21102207533269432		233.14963	162.441	27_200929_Poo_TruePooMortality_DDApos_27
50	C10H21NO5	[M + H]+	C10H21NO5	53.919532841785696	46.41986236006585	7.49967048171985	25	0.8518924535586255	6.793441357313818	6.793441357313818	-0.3573524327296728		236.14916	561.859	114_200929_Poo_TruePooMortality_DDApos_114
