GENE.NAME,KEGG,PathwayID,Pathway_info,Details
PMM1053,K01934,9108,Metabolism of cofactors and vitamins,00670 One carbon pool by folate [PATH:ko00670]
cioD,K01935,9108,Metabolism of cofactors and vitamins,00780 Biotin metabolism [PATH:ko00780]
pyrG,K01937,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
purA,K01939,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
purA,K01939,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
argG,K01940,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
argG,K01940,9165,Cardiovascular diseases,05418 Fluid shear stress and atherosclerosis [PATH:ko05418]
argG,K01940,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
argG,K01940,9105,Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220]
purD,K01945,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
nadE,K01950,9108,Metabolism of cofactors and vitamins,00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]
guaA,K01951,9112,Enzyme families,01002 Peptidases [BR:ko01002]
PMM0695,K01951,9112,Enzyme families,01002 Peptidases [BR:ko01002]
guaA,K01951,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
PMM0695,K01951,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
guaA,K01951,9111,Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983]
PMM0695,K01951,9111,Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983]
purQ,K01952,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
purS,K01952,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
purL,K01952,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
carB,K01955,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
