GENE.NAME,CTRL0_A,CTRL0_B,CTRL0_C,TRT0_A,TRT0_B,TRT0_C,CTRL12_A,CTRL12_B,CTRL12_C,TRT12_A,TRT12_B,TRT12_C,TRT24_A,TRT24_B,TRT24_C,CTRL24_A,CTRL24_B,CTRL36_A,CTRL36_B,CTRL36_C,TRT36_A,TRT36_B,TRT36_C
zwf,3067,4914,4671,3020,4115,6654,24309,21389,21487,5964,10852,4025,170,147,114,8093,6712,18531,14747,20352,168,274,162
petH,34432,40375,33397,21527,27104,39233,92165,68708,66946,19819,28034,12640,405,415,299,52414,58655,76023,58990,89888,539,733,458
PMM1076,1824,3527,2150,1089,1993,2625,9135,6751,5411,1520,4173,1827,109,67,54,4548,2432,6712,5462,8312,74,60,42
sasA,4667,5633,3637,3873,4237,6341,7830,6111,7151,1880,4791,2247,175,189,79,5382,4947,6127,3863,6676,85,132,75
PMM1078,681,1064,724,566,716,1268,2646,2207,2084,631,1595,551,35,27,15,1269,808,1612,1265,1984,31,47,19
PMM1079,13430,14179,13210,7915,9784,17659,9246,8372,9254,1845,4406,1827,150,116,94,20827,22101,13851,8944,15679,76,155,41
prsA,5157,5190,4861,3916,4439,7658,21243,22870,24306,5860,14568,6541,362,345,285,8959,9960,26489,15469,27311,221,348,193
malQ,1870,2132,2040,1713,1541,3095,7668,5225,5360,1796,3734,1762,153,137,69,3666,2564,5283,4142,6458,61,103,57
PMM1082,485,471,382,222,411,570,598,445,400,113,646,328,34,24,13,289,295,269,129,368,17,23,15
aarF,8911,9661,5049,6327,5990,7056,5308,3971,4192,1188,3689,1839,181,157,89,4805,5879,4475,2927,5533,65,98,55
cad,3213,3051,2928,2396,1948,4324,4247,3702,3142,809,2975,1329,180,105,70,4318,3909,3374,2002,4327,54,75,36
cdsA,1188,1347,1425,1006,921,2168,2381,1927,1948,396,1395,547,74,59,32,2223,2130,1876,1174,2486,31,47,33
todF,1726,2132,1436,1483,1406,2594,2267,1964,1792,459,1250,497,69,63,59,2169,1648,1611,955,2050,22,69,27
gldA,7895,12233,5187,5829,6427,6961,6111,5040,5609,1558,3292,1712,124,127,97,6213,5993,6067,4010,7677,79,119,62
clpC,97309,152996,56647,70136,68388,60671,74720,54587,61513,17426,25427,11122,567,623,381,86568,64910,72344,55161,96502,630,1041,469
PMM1089,241,486,263,167,244,357,500,414,256,65,372,171,18,16,13,437,161,290,114,445,10,14,2
lysA,8423,9569,7752,7028,6154,11543,7191,5864,6766,1545,3745,1709,159,184,101,10308,10653,7148,4847,8453,84,141,76
dacA,4207,5322,4910,3664,3045,6570,7685,5650,6399,1578,3136,1209,81,73,78,6681,4794,5834,3382,7115,82,117,99
uppS,1451,2355,2018,1401,1423,2888,5594,3290,2986,1041,1534,750,40,52,55,2854,1779,3181,1978,4336,59,88,28
bioB,2664,3140,2800,2137,2069,4148,4734,3162,3245,963,1839,761,63,45,76,3823,2989,2907,1934,3990,45,106,47
PMM1094,769,813,851,532,660,1346,1202,863,928,262,606,277,16,10,22,847,679,643,412,811,23,40,17
lipA2,806,1052,475,668,747,920,3556,3338,3713,1067,3549,1657,90,65,50,806,620,2919,2216,2937,54,53,36
recR,338,418,252,256,302,322,3368,1471,1584,1088,1702,1050,40,32,30,385,206,1353,824,1607,28,34,18
psbP,6312,6479,5627,4943,3710,6015,3978,2565,2847,868,1608,733,97,63,33,7005,7377,3976,3189,4666,41,67,36
PMM1099,1923,1712,2412,1585,1171,3902,3425,2938,2834,584,1822,652,82,62,44,3190,2352,2337,1166,2687,38,80,30
cds-WP_011132733.1,286,192,427,112,186,620,264,291,341,51,149,59,7,4,1,274,262,181,30,241,1,9,3
deaD,10560,6935,10805,8381,4945,17454,7634,7641,10518,2560,4541,1467,193,243,77,10885,16295,8438,4749,8777,159,159,78
recD,501,739,553,340,422,936,1583,1171,822,237,794,310,29,30,18,964,454,739,396,1056,17,52,21
recB,762,992,825,429,614,1272,2335,1927,1607,333,1369,480,37,48,27,1447,836,1282,627,1642,20,59,21
PMM1104,122,137,93,86,95,188,334,195,202,79,168,61,6,4,5,150,163,202,111,188,2,11,2
recC,1100,1298,1092,564,1001,2144,2876,2382,2638,493,1785,777,62,51,49,1881,1595,1922,937,2354,39,69,29
PMM1106,1083,1207,1236,731,1072,2057,2360,2594,3042,458,1675,681,53,46,27,2133,2023,2723,1505,3015,22,50,29
pdxJ,740,1030,830,564,705,1248,3778,2060,2151,881,1633,852,57,38,24,1480,1241,2352,1702,2859,33,29,22
colA,9069,10201,9529,7064,5984,10958,6784,7098,7143,1523,2824,812,48,48,30,13316,12093,8537,6050,10217,53,112,41
grxD,11330,12668,11953,8177,7473,13577,9273,10022,9995,1998,4019,1174,64,60,45,16046,14617,11255,7779,13306,71,146,62
PMM1112,849,1448,912,724,703,971,957,748,563,204,645,242,25,18,12,1480,818,814,556,1210,8,15,8
rer05,37225,40078,31527,25883,34090,40357,24175,22975,23865,5796,11444,4403,386,254,192,35957,35753,30552,17439,32034,278,301,159
trmFO,27895,41131,32724,17255,35383,44697,24590,18593,28658,5605,22526,12580,1623,1136,531,44909,48345,32531,22134,39852,322,494,257
psbY,3768,4976,4429,3023,3950,4641,7224,3110,4983,1833,2385,2001,162,82,68,8107,7932,6485,5771,7316,82,77,50
hli4,5977,11688,4079,10121,4014,5284,1201,1172,629,683,3741,2468,327,317,38,2067,985,926,650,1053,45,29,22
hli12,56518,139928,48723,80605,32649,39207,30633,27341,23906,5075,11275,8599,1032,1256,917,34997,20317,32733,26584,41812,520,511,521
PMM1120,666,921,648,377,559,1352,2620,1953,1865,400,1897,930,107,100,51,1047,590,1480,654,2031,19,47,24
apt,5414,7447,9525,4705,3407,9669,11162,7474,7636,1671,3489,1641,83,85,75,12560,9343,8359,4067,12722,53,165,43
hupE,138092,164581,137690,99946,90110,151529,130707,109970,115856,24841,43494,16431,903,709,787,201039,176781,153845,99770,183082,834,1535,540
PMM1124,2432,3510,2369,2170,2197,4249,8482,7740,7361,1972,5703,2026,151,174,112,3655,2736,5904,3670,6636,95,149,59
PMM1126,1594,2142,1604,1185,1254,2425,2895,2361,1943,465,1714,743,79,68,45,2248,1636,1877,953,2696,35,63,27
PMM1127,646,965,555,492,570,858,1348,735,727,241,735,368,52,51,38,974,566,643,492,918,20,22,22
hli15,1877,3281,1229,1855,1676,1539,1558,1222,1204,342,708,375,38,37,24,1143,1261,1575,1138,1639,17,28,16
PMM1129,750,1001,625,637,679,960,1651,1547,1546,336,813,351,18,12,18,802,847,1575,1071,1972,9,18,16
PMM1130,46,55,31,14,34,55,129,61,40,22,104,44,3,1,2,45,18,24,18,79,0,5,5
PMM1131,3019,3141,2526,1743,2474,3968,5039,4220,3917,705,2083,716,33,28,24,5289,6064,5862,4697,6423,41,52,19
PMM1132,9689,10969,7674,6641,6562,10230,16363,13878,14580,2918,5780,2488,96,100,117,12145,14486,16859,10293,19940,114,274,81
cds-WP_011132766.1,879,1384,770,839,748,1048,2422,2004,2155,584,1026,423,17,20,17,1463,1243,2418,1477,2912,18,31,13
PMM1134,383,585,469,383,325,648,2268,1007,811,470,779,431,32,25,12,1028,465,1244,893,1397,13,13,13
hli14,31552,82268,22064,47104,14832,20536,5400,4293,2704,862,1643,875,254,369,219,7388,4123,4013,3706,5468,212,154,201
ychF,1951,1869,1783,1189,1469,2922,2705,2394,2329,480,1634,668,55,52,28,2827,3618,2425,1639,2819,29,52,20
acrA,6758,7336,5111,5180,3894,6840,4279,2894,2441,826,1384,520,53,67,58,7042,5715,3347,2439,4298,36,64,41
polA,3873,5010,3737,3387,3602,5998,3777,3042,2716,670,1921,732,84,70,80,4857,3654,2577,1867,3428,48,118,63
cysS,1783,2210,1709,1508,1519,2873,2845,2029,2055,574,1174,474,34,30,30,2394,2164,2110,1416,2488,41,70,36
PMM1143,388,409,655,277,447,1227,355,329,349,79,209,120,24,27,9,965,973,313,175,373,7,12,9
PMM1144,682,1008,838,559,587,1168,6909,4148,4610,1327,2112,1153,55,53,46,1722,1104,4474,2538,6426,57,129,52
pntB,5812,9836,8052,6085,6352,9992,52964,44738,52983,10902,19115,9014,198,227,177,16497,15486,62372,41048,75133,380,765,242
pntA-2,2007,3623,2610,1934,2378,3279,16927,15939,17518,3601,7065,3241,82,84,60,4949,4728,19624,12649,24798,123,238,92
pntA,3291,5293,4522,2768,3952,6112,37758,33751,43722,8289,17817,8611,251,203,212,10294,9200,46093,26763,55927,294,552,258
PMM1148,1297,1443,3146,909,2071,5112,35435,40065,51606,11447,20124,7593,149,125,104,31481,44537,80714,61518,84503,321,616,266
PMM1149,2264,4250,4557,1142,3699,5220,11809,9336,13089,2822,5410,2415,51,66,25,8130,7791,13746,8194,17694,83,212,64
trxB,14522,28305,12046,10097,11689,12949,38318,26178,26989,7188,12137,4971,182,216,179,19038,10351,26681,16793,44684,333,513,226
infA,1988,2270,2471,1902,1756,4700,3919,3069,3745,1683,3603,2424,107,117,85,3382,3651,3886,2080,4142,30,62,37
ycf39,15867,22332,17066,12446,14579,22066,13135,10939,12871,3161,7049,3526,430,321,200,21452,23723,15682,10931,16881,146,212,117
petM,4016,4601,4209,2483,3869,5594,4315,3662,4469,975,1928,855,89,68,52,6072,7700,5232,4206,5637,37,47,33
ilvN,1658,2613,2200,1750,1537,2841,8432,6889,6518,1875,3279,1440,75,52,44,4042,3097,7268,5685,8232,66,84,46
cds-WP_011132789.1,447,748,642,325,510,971,1123,911,592,156,796,314,46,29,20,1090,481,603,298,929,0,22,23
ycf4,5946,7597,3717,4082,4358,4821,3593,3343,3180,648,1547,681,59,64,29,4156,4798,4345,2579,4634,31,52,15
psbD,1729058,2990276,1155974,1449777,2015524,1219584,738887,634746,868849,175204,301576,139418,8589,5061,4304,1167219,1692409,989960,773715,1011304,5004,8072,3022
psbC,1552436,2702869,1217967,1447497,1986916,1397275,823774,732756,958309,198633,333092,154808,9486,5702,4944,1547906,2116112,1194386,931104,1201310,5742,9650,3452
maf,251,290,280,130,229,473,837,753,678,206,573,237,19,19,8,461,411,818,353,961,13,20,8
cobQ,581,1002,647,579,498,1095,1965,966,810,350,514,241,22,12,12,1151,654,946,632,1470,12,22,19
PMM1161,328,439,331,333,190,550,529,356,291,111,232,103,14,9,10,568,329,346,184,489,9,1,6
PMM1162,1024,1282,1128,726,800,2232,3273,2529,2109,598,2727,1225,110,81,54,1580,1256,1487,948,2063,28,66,55
afuA,4533,3262,5556,3416,2549,8534,5281,4451,5513,1239,2378,964,37,54,39,3982,4277,7922,7159,8656,65,97,50
glyQ,2652,3337,2919,2339,1480,3501,8069,4954,4538,1241,2376,1012,44,40,40,4775,3224,5047,3119,6548,36,66,58
PMM1166,463,547,751,414,434,1365,3198,2410,2833,768,1470,575,29,13,12,1485,1146,2491,1081,2983,33,48,19
PMM1167,604,797,938,249,569,1463,4527,3809,3032,942,1533,627,7,14,6,1564,1129,3273,1321,4010,18,48,11
PMM1169,637,834,943,664,785,1254,9030,8017,8530,2993,3749,1465,31,23,17,3483,4248,9897,5957,11179,53,65,33
PMM1170,8856,8637,7390,4861,7444,12020,5079,5151,5628,906,2160,714,53,50,42,9609,13390,7728,5225,9521,25,94,34
fldA,9591,8895,9302,6223,7453,11325,5357,4147,4721,1298,1700,763,51,54,36,14288,17506,9199,7820,10415,39,86,46
PMM1172,1569,2106,1252,1183,1329,1932,1518,1163,1255,259,739,318,28,18,11,1562,1119,1126,756,1607,20,24,13
PMM1173,1180,1596,1224,1087,1314,1778,1029,1016,984,180,534,211,11,6,7,1312,903,851,604,1093,11,13,10
PMM1174,2113,2845,1889,1323,2370,2646,1543,1356,1674,237,692,340,16,17,17,1932,2082,1736,1218,2010,13,26,10
PMM1176,1132,961,1495,524,717,2548,958,694,532,135,546,250,66,35,38,2713,3821,409,177,709,8,28,8
PMM1177,1705,1937,1821,1412,1263,2976,4428,4071,4416,1201,3557,1659,145,90,55,3031,2904,4411,2618,5236,52,75,30
PMM1178,1430,1758,1028,985,901,1386,2040,1358,1172,526,1276,740,65,33,24,1345,1116,1286,766,1680,25,30,15
PMM1179,15823,13122,10867,10597,7072,13722,3579,2895,2762,739,1695,714,102,58,56,10909,13864,3645,1612,4519,44,56,27
sppA,8152,10143,8838,7360,5515,10711,28757,26310,23674,6922,10229,3581,88,93,89,14966,12684,25664,18119,31433,151,321,144
aroH,3415,3518,3830,2783,2292,5064,9942,9570,10499,2239,4106,1542,51,43,54,5564,5138,8219,4806,10641,69,164,46
rpmH,2967,3379,3400,2540,2077,4407,3185,1878,2056,887,1486,721,68,49,13,5003,4110,2385,1643,3188,21,38,17
PMM1185,35159,51014,22588,30513,21966,24518,6389,5724,5842,1474,3782,1710,357,257,94,17550,17728,7980,4875,9010,81,109,64
yidC,85292,92834,61765,60407,50537,77690,65990,60879,62426,14288,38169,17138,2002,1854,785,65740,59652,69217,42614,75950,618,1028,590
PMM1187,6439,7973,6258,5373,6030,11787,10404,8767,7453,2666,11990,6450,870,637,181,6724,4159,5439,3190,7295,126,236,145
serS,4218,4738,4039,2990,4678,7150,4820,3942,5775,1204,2779,1380,91,63,92,4262,5470,4257,2896,4772,48,95,37
rseP,5718,7743,5360,4585,6159,7666,5435,4714,6026,1091,2551,1115,58,52,50,5050,6655,5633,3523,6114,54,94,39
rpsN,15017,15747,15085,11631,9091,20085,13677,10171,13040,3314,5093,2299,146,140,99,23706,25966,15421,10758,17133,104,169,95
pnp,87753,66173,111427,71410,43298,120189,69389,44297,77828,19884,23649,13274,1107,912,651,192654,233244,105769,60492,106964,749,1021,490
rsmI,1702,2314,1816,1307,1242,2357,5361,3533,2734,693,1865,684,76,58,38,3549,1496,3408,2562,4373,67,53,20
PMM1194,221,266,220,124,232,421,803,656,521,113,463,180,20,13,8,372,249,442,208,670,9,15,5
PMM1195,767,674,696,478,604,1583,744,738,608,147,658,249,44,40,8,876,966,587,308,796,8,23,11
manC,1738,1776,1989,1514,1332,2818,5559,4266,4323,1317,2144,932,73,52,41,3170,3400,5921,4576,7010,62,64,43
PMM1197,1017,1033,536,477,648,993,1232,1103,1097,212,766,221,29,20,11,644,594,904,462,1331,13,30,17
PMM1199,1167,1121,971,487,905,2005,1804,1611,1285,273,1953,823,155,139,34,1548,1309,1200,694,1636,27,37,43
cds-WP_011132834.1,3196,2963,3207,2241,2348,6362,2791,2688,2745,730,2987,1121,291,315,96,4431,5548,2871,1555,3398,61,129,53
PMM1201,3520,4274,4284,2743,3161,8783,4543,3826,3467,1024,3981,1865,518,613,199,5983,4590,3342,1511,4556,152,162,138
rfbG,3577,3463,4262,2724,2718,7691,5218,4503,5275,973,2466,953,109,81,80,5147,6414,4542,2847,5291,58,110,49
rfbF,3214,3375,3991,2359,2328,6190,4809,3454,4105,1069,1848,893,80,66,55,5083,6863,4308,2411,4975,65,67,36
PMM1205,6487,7651,5338,4594,4983,8553,7358,5741,5366,1154,2965,1126,115,116,130,6191,6839,5548,3376,6627,98,131,81
cds-WP_011132840.1,1971,1520,2471,730,1328,4097,2727,2285,3408,452,1544,665,84,55,46,3826,7015,3023,1626,3689,30,45,15
fcl,817,889,710,527,530,1288,1282,1068,807,255,897,347,28,36,12,970,682,767,576,1064,21,45,15
gmd,2304,2372,2102,1648,1521,3764,3772,2761,2601,723,2111,792,74,97,55,3556,2445,2513,1553,3096,38,85,53
galE,3024,2770,2063,1730,2065,3910,3577,2813,2412,945,3455,1518,228,112,45,2924,2600,2390,1552,3166,29,49,38
PMM1210,7341,6324,5011,3928,5214,9103,8342,7410,6458,1754,6369,2656,375,264,93,6580,7202,7025,4039,8134,61,94,65
wza,1560,1744,1584,919,1272,2285,4733,3072,2470,785,1971,770,58,45,22,2681,1770,2155,1262,2870,43,41,32
PMM1212,2233,2562,2871,1608,1920,4372,3773,3275,3671,737,1579,525,29,37,18,4824,5224,3826,2267,4195,41,87,25
PMM1213,960,1195,925,554,948,1403,1767,1731,2469,295,916,322,21,20,5,1120,1624,1946,1200,2334,21,49,2
gmhB,687,792,783,313,756,1626,3053,2022,2151,387,1359,582,26,48,28,2031,1526,2065,1199,2542,33,37,19
lhgO,856,944,572,462,548,1079,2160,1241,1297,626,1334,796,55,41,27,1065,894,1037,691,1304,36,45,16
PMM1216,663,815,713,284,544,1268,1235,993,869,239,1098,509,46,31,17,972,679,687,357,837,20,28,14
gmhA,1407,1556,1820,852,1026,2949,2922,1743,1925,571,1465,590,119,115,55,3268,2318,1801,1146,2191,49,59,41
rfaE,2863,2920,3292,2014,2294,6150,4158,3150,3694,847,2628,938,160,138,94,5082,4024,3103,2076,3471,74,109,58
PMM1219,3834,3359,5138,2118,2831,9243,6262,6268,6428,1356,3382,1111,108,77,25,7235,11575,7225,4195,8395,51,126,46
PMM1220,985,1017,1338,521,828,2524,2483,2010,1654,405,1165,412,30,24,12,1567,2290,1363,735,2106,12,42,11
PMM1221,1246,1296,1383,744,958,2500,2974,2258,1984,514,1634,633,40,40,24,1693,1993,1602,1208,2115,45,49,66
PMM1222,748,790,700,365,506,1381,1438,1278,1004,196,959,397,38,23,28,828,884,1007,612,1179,10,20,4
PMM1223,725,790,761,367,603,1508,2206,1955,1598,315,1321,449,54,24,14,981,882,1076,510,1289,12,28,9
wzc,3057,2877,2791,1248,2135,4942,6658,6182,6619,1031,3154,1308,59,38,36,3433,4163,4767,2484,6180,42,106,40
lim,1361,1508,1691,631,1173,2953,1574,1492,1693,238,1086,458,63,33,29,2744,3642,1713,784,2126,11,40,20
PMM1228,4247,3865,4089,1938,2799,7066,1373,1306,1441,260,648,235,34,39,19,4275,6953,1737,1194,2100,23,25,15
PMM1229,7128,7244,8641,5411,5177,15408,9943,6349,6609,2275,5340,3206,521,523,166,11824,10948,7166,3761,9659,146,159,118
bfmBA,6855,6566,8233,4018,5646,15867,6582,5587,6599,1219,3912,1896,305,214,96,8715,10232,5219,2782,7138,56,130,68
PMM1231,6276,5925,7506,3189,5582,14606,6634,5218,6399,1059,3707,1907,254,151,86,7280,8567,4519,2818,5985,56,148,74
PMM1232,7813,7723,10134,3455,7791,20366,8571,7905,9290,1171,5848,2559,335,271,112,10066,11336,6635,3523,8221,81,176,79
rmlD,1594,1902,1812,769,1602,3853,2479,1643,1539,397,1530,837,123,89,43,1868,1676,1023,518,1565,21,55,21
frmA,3608,3891,4530,2728,2785,6750,6138,3894,4503,1564,3017,1489,184,150,67,6570,6904,5311,3206,5954,78,93,81
PMM1235,5201,5371,7258,4697,4554,11065,7683,6433,7583,2038,3986,1727,149,120,87,10400,12618,8724,5351,9437,86,151,63
PMM1236,4216,4471,4913,2972,3486,8380,4695,3457,4270,1026,2149,946,99,74,76,6758,6422,3895,2815,4394,72,90,69
TX50_RS06660,694,744,775,332,715,1596,736,630,763,107,405,144,10,16,14,761,706,467,204,606,6,19,11
PMM1238,306,303,211,119,229,584,466,346,291,55,224,86,10,7,10,245,121,157,95,279,5,18,7
PMM1239,1847,1976,1946,1040,1634,3678,5202,5030,5003,921,3307,1218,129,117,41,3794,4033,4713,3201,5155,46,115,39
PMM1240,4342,3916,4698,2643,2988,7664,6196,5316,5960,1499,3026,1330,111,108,57,8026,9713,7866,4929,8783,68,165,55
PMM1241,800,970,644,368,794,1003,1895,1691,2036,295,864,402,33,17,12,770,1175,2280,1363,2561,14,21,10
PMM1242,2280,2366,1386,866,1636,2362,1384,1135,1077,245,1432,728,82,41,22,919,1080,709,312,852,10,35,14
PMM1243,3293,3345,2863,1863,2407,5039,2724,2267,2310,634,2443,1219,131,103,43,3042,3318,2259,1318,2768,38,46,32
cds-WP_011132878.1,1505,1653,1584,882,1250,2592,1164,1219,1057,202,966,334,26,30,11,1808,1629,1203,719,1509,17,21,5
PMM1246,5526,6927,7461,4712,5997,13858,8261,7198,6855,1318,5397,2193,239,191,125,9143,8205,6895,4517,8209,68,177,87
PMM1248,504,618,395,286,412,788,1014,579,456,270,1301,684,113,98,28,482,209,330,179,578,22,24,18
PMM1249,4410,4520,4345,3422,3127,7344,6239,5394,5079,1613,6003,2846,512,468,133,6004,4236,4177,2131,5390,100,127,85
PMM1250,4526,4140,4905,3917,3091,7013,5085,4378,4474,1465,4209,2105,322,325,93,6379,5218,3950,2334,4790,83,86,65
PMM1251,12935,11953,12420,10565,8717,18592,12507,9717,8349,2758,11201,5819,1165,1088,295,17779,15706,9870,6498,12718,205,255,184
pssR,743,989,641,401,590,988,1636,1532,1257,255,734,249,15,18,12,1366,1152,1544,1232,1898,12,15,17
PMM1254,2435,2952,2635,1739,1646,3322,2677,2087,1639,411,1328,557,66,60,34,4521,3222,2189,1498,3045,20,47,23
PMM1255,1690,1615,1644,1160,1126,2823,1639,1283,1018,254,821,334,37,33,22,2633,2494,1226,793,1630,14,29,22
rfbB_a,1311,1543,1616,1108,1054,2376,1418,1091,1116,266,917,417,49,48,20,2058,2269,1185,704,1625,31,37,20
PMM1258,11282,12319,9649,7909,7232,11991,11421,9505,10931,2049,5000,2022,144,110,77,12073,13317,12977,9638,15883,104,188,82
cds-WP_011132893.1,8686,9677,7228,6337,6517,10531,12337,11182,11882,2229,5725,2003,101,120,81,8763,9531,11550,8060,14318,101,205,70
ugd,3229,3725,4159,2646,2740,6059,7324,4757,4487,1326,3284,1477,179,167,102,5900,4547,4622,3111,5918,94,108,76
lexA,6061,7895,9419,5453,7756,15908,19950,17027,20250,7759,21152,12471,1047,926,402,16345,15416,26739,16134,25153,236,342,211
argF,5384,8040,4409,4245,4668,6163,2183,1691,1861,542,1816,931,142,114,72,4341,3765,1830,1140,2715,49,47,30
ftsH3,50020,79041,38599,42588,37147,42481,17862,10954,13528,3820,6140,3091,354,293,231,46589,39778,18579,12553,24871,201,266,173
ribD,5849,8538,5957,5640,4717,7167,4050,3011,3028,686,2184,986,145,94,65,6934,4708,3111,1851,4595,44,73,39
PMM1266,8112,11869,6289,7325,5667,7077,3553,2788,2616,639,1734,722,84,70,30,6764,5505,3558,2090,4731,31,45,35
cobL,1206,1688,1377,807,1240,2106,3244,2296,2045,567,1595,611,70,34,18,2592,1821,2287,1477,3141,49,84,30
nadK2,2945,4267,3334,3047,2498,4488,5135,3763,3781,1173,2462,1222,123,110,64,5709,4712,5176,3478,5680,55,86,74
pheS,5758,5919,4683,4908,3553,6617,7711,5858,5960,1546,3597,1467,111,93,64,8123,7601,8339,6407,9087,57,110,62
surE,1293,1603,1601,1231,892,2196,2345,1524,1413,479,1266,639,55,50,26,2838,2087,1950,1107,2293,35,55,20
PMM1272,991,1084,1694,829,1186,2550,6312,5463,7554,1790,3401,1383,47,35,33,2924,3790,8568,7032,8046,70,69,55
ribF,2124,2217,2178,1467,1632,3193,4723,3231,3240,985,2978,1484,167,114,44,3703,3576,3603,1900,4071,46,59,49
thiE,996,1060,975,679,877,1767,1774,1521,1398,518,1802,850,74,36,17,1391,1308,1451,968,1761,20,39,18
thiS,346,506,320,225,323,455,847,756,700,217,450,184,7,14,1,426,477,761,588,894,8,14,13
cds-WP_011132910.1,1906,4709,1997,1115,4529,3548,3163,3137,3771,751,1791,798,16,31,11,1910,1500,5164,3286,5540,27,58,17
larB,451,573,486,350,345,791,1323,800,750,291,514,283,28,19,15,910,524,699,523,910,17,27,12
PMM1279,750,833,703,623,614,1070,987,786,908,321,361,193,12,12,3,1127,1032,919,667,1054,9,13,6
trmD,1440,1843,1385,1406,1102,1997,3375,2427,2625,757,1390,605,40,37,32,2259,2220,2725,2154,3190,34,50,27
era,371,769,456,346,335,556,3097,1853,1490,479,976,529,36,36,14,895,592,1503,1286,2099,24,25,21
PMM1282,673,730,627,367,508,926,1304,925,759,165,583,240,22,15,14,1039,835,1016,506,1254,13,24,9
PMM1283,98442,189727,58820,78041,64364,51285,131468,107349,88537,22146,44988,17093,1076,1123,753,84736,50829,113487,85350,179047,883,1307,704
phoH,5600,6142,7893,6247,4604,14901,6589,4877,5665,2144,5764,2681,971,1099,250,11785,10283,5980,2563,7469,162,191,182
rpsP,8677,7977,10409,8842,4590,12813,9722,4853,6925,3586,3317,1772,311,299,91,16483,15943,8262,4654,8955,103,110,103
ffh,2368,3498,3036,2188,2016,3618,8559,4976,5116,1829,2738,1202,55,74,69,5798,4113,5784,4554,6681,66,90,48
PMM1287,5166,7150,5132,3981,6048,7594,22932,21977,25231,5353,11151,4597,138,115,97,8864,8850,26149,17312,30715,202,383,157
acoA,8062,7723,10558,6843,6343,15031,9008,6538,7312,2376,5431,2893,519,475,167,13528,16585,8399,5902,9123,155,145,176
PMM1289,2394,13465,3712,2882,12839,4031,31502,23918,22838,7706,12204,5979,136,261,152,3505,1712,33880,32353,33340,269,402,251
nnrD,2638,4038,2650,2441,1911,3033,5030,3587,2573,879,2311,1140,89,95,45,4073,2425,3280,1940,4303,52,65,43
mnmA,2935,3461,3480,2280,2146,4005,8756,6196,5548,1992,3359,1590,108,68,50,5850,4356,7057,4493,8229,58,105,72
lnt,617,916,856,537,541,1346,1972,1416,1319,447,1060,392,47,49,37,1503,780,1143,641,1550,30,30,43
fkpA,11576,11120,12606,8130,7204,13832,16009,9295,11721,4369,3507,2175,111,94,72,20297,24946,16141,10357,18080,97,125,99
sodN,42474,63230,39297,34501,30788,41627,27198,24100,25317,5840,10475,4262,396,353,225,53304,48575,37631,25774,44378,193,348,149
sodX,3319,4509,3163,2813,2628,4211,1843,1518,2024,576,1033,563,40,46,27,3177,3327,2026,967,2767,23,46,19
PMM1296,3553,3586,4501,2159,2835,6293,12676,11106,11656,2634,6326,2264,124,77,65,8830,6752,11491,7304,14277,99,154,72
trpC,3555,3184,3661,2945,2390,5295,2742,2648,2826,635,1542,643,70,50,36,4959,5067,3140,1833,3298,40,61,27
lpd,13947,12947,13680,10732,8222,17292,11843,9407,10492,2564,5166,2206,292,274,163,19069,20413,12354,8206,13132,162,191,113
spoU,3114,2854,2887,2125,2164,3663,7064,5862,6785,1544,3221,1790,106,153,79,4124,4620,7336,3491,8264,79,132,67
murA,1370,1465,1551,1037,1584,2994,6372,4816,7329,1907,3205,1453,54,34,32,2292,2312,4928,3338,5234,73,103,59
folC,444,641,539,320,522,1102,2115,1606,1647,508,2379,1048,80,72,51,937,563,995,635,1275,27,56,37
PMM1303,2249,2844,1737,1971,1721,2354,1844,1338,1358,556,1711,1016,90,76,46,1619,1537,1411,926,1676,34,47,44
codA,3435,3304,2598,2284,2498,4337,4805,4021,3681,1084,3954,2021,206,184,95,3985,3655,3938,2418,4660,61,132,71
miaB,3808,4240,3456,2662,4250,7801,9408,9619,10684,3101,8847,4287,202,170,85,5644,6344,8888,6465,9117,97,168,79
ddl,524,698,695,397,593,1345,1662,1447,1471,465,1982,917,56,36,17,1015,839,1010,632,1323,25,47,16
PMM1307,275,373,355,283,240,480,1527,826,760,469,642,367,12,22,10,568,454,813,537,916,18,20,10
ftsQ,440,659,662,333,542,860,2067,1635,1228,260,881,359,27,29,9,1176,662,1228,616,1484,6,31,14
ftsZ,5526,9745,6198,4848,7009,7062,55482,39253,43837,15906,18466,8163,107,110,98,14571,10566,51912,44282,57371,439,559,292
panB,2139,2822,2527,1476,2559,3893,12437,10425,10936,3094,7901,3661,145,121,71,4364,3669,10120,5193,11749,128,195,92
ycf81,3565,5100,3779,3476,3214,5428,11748,9892,10700,2908,7260,3316,196,210,148,7778,6257,12711,8660,14699,115,207,103
clpR,31103,43096,16283,22908,23444,18005,40258,31331,35715,8611,15575,7110,289,267,178,17744,19368,39955,32474,45558,310,404,241
clpP3,23532,30689,12797,17839,17711,14573,26799,22389,28435,6226,12512,5776,272,230,154,12743,16014,29821,23925,33894,230,355,177
ilvC,24848,24814,22895,18597,16130,28559,28798,22537,27598,7133,13392,6211,357,279,222,35286,44778,33179,25869,37518,241,381,178
cobD,1876,1810,2850,1210,1455,4586,2813,2448,3447,827,2711,1452,101,74,50,3659,4755,2505,1129,3497,33,64,22
