GENE.NAME,CTRL0_A,CTRL0_B,CTRL0_C,TRT0_A,TRT0_B,TRT0_C,CTRL12_A,CTRL12_B,CTRL12_C,TRT12_A,TRT12_B,TRT12_C,TRT24_A,TRT24_B,TRT24_C,CTRL24_A,CTRL24_B,CTRL36_A,CTRL36_B,CTRL36_C,TRT36_A,TRT36_B,TRT36_C
pyrB,2120,2658,2902,1704,1856,4207,9633,6722,6732,1717,4454,2041,176,162,100,5297,3920,7003,3866,7906,96,153,67
gatC,1861,1998,1703,1219,1292,2366,7475,4976,4582,1362,2562,1202,66,43,46,3256,3670,7151,6033,8109,36,68,42
ileS,10420,10796,12332,8547,6900,18479,11810,10093,13531,2859,6316,2680,216,198,132,17336,18663,13628,8142,15204,138,244,140
PMM0239,3830,3209,3282,919,2113,4747,2003,1783,2107,254,1173,451,49,27,17,4053,3477,1834,964,2382,19,27,17
trmB,247,312,195,109,182,342,432,251,204,46,173,60,20,6,1,359,195,219,108,281,10,15,6
glmM,299,509,350,240,336,509,2518,1016,1124,442,665,429,23,14,12,598,368,875,522,1199,24,28,24
txlA,2244,2882,1210,1287,1698,1733,674,490,538,83,281,131,18,8,6,846,998,455,244,599,6,16,4
thyX,3837,4956,5149,3052,4743,8958,23846,26014,39326,5618,14993,5292,116,97,140,8417,11683,31362,22179,30636,226,464,160
dcd,5368,7789,7300,4365,6489,11409,32457,37544,52176,7653,22082,8737,162,168,191,11736,16941,46228,32497,47082,281,678,208
PMM0245,1998,3066,2870,1533,2389,4135,16937,15722,21962,4154,9215,4620,103,78,72,4713,6972,19260,13188,20877,143,267,99
ntcA,709,1286,803,609,371,1080,2258,963,949,315,812,448,118,112,40,3132,894,948,383,1841,35,32,32
sll1424,434,574,379,312,342,663,1655,803,808,306,872,451,87,68,29,698,455,756,494,962,25,29,23
PMM0248,225,341,285,225,232,515,966,640,484,129,491,222,32,23,10,510,315,460,338,586,19,17,7
PMM0249,328,618,438,310,308,694,1116,719,484,198,633,311,34,29,20,807,347,609,421,829,6,10,15
pth,904,1359,1686,689,791,1856,2283,1315,1132,423,928,506,42,34,20,1914,1030,1188,608,1795,11,23,26
psbH,7436,8591,8057,5306,5975,8920,4826,4015,4915,1158,1921,1009,85,50,33,12254,14229,8256,6323,9043,65,57,27
psbN,21043,28013,10416,13207,16940,12697,6153,5362,6833,1087,3108,1335,116,99,34,5882,8074,6406,4019,6659,34,69,45
cds-WP_011131891.1,41288,43960,35119,15364,41431,58663,18513,18370,25767,3472,15963,7517,931,553,231,39252,51959,22904,9246,28775,187,420,149
leuD,917,986,1034,538,925,1738,2504,2649,3210,412,1467,538,29,14,27,1427,1903,2666,1395,3083,19,42,14
leuC,2849,2863,2570,1636,2306,4051,7505,5912,7866,1779,4449,2337,129,86,119,4292,5617,8867,6029,9147,64,139,75
cinA,1810,3127,2003,1755,2615,3298,10797,11301,13656,2710,7842,4570,115,144,138,2801,2437,13684,9952,14224,109,233,106
glyA,6412,11306,5371,6213,7815,6926,30696,29671,34864,7230,14594,8209,160,197,175,7462,6432,44633,38234,46047,273,456,202
PMM0259,1801,2664,1267,1241,1361,1522,1377,1162,1075,220,515,192,15,10,14,1553,1542,1425,797,1798,2,14,2
PMM0260,1964,2467,1401,1290,1554,1946,1422,1126,1209,218,524,208,10,9,11,1600,1677,1358,570,1747,2,17,5
murJ,1895,2680,2480,1143,1546,3655,5636,4300,3712,795,2719,1251,124,133,54,4703,2638,4024,1539,5782,28,69,26
sfsA,548,903,532,463,502,731,2185,1629,1254,336,1037,431,41,37,12,927,525,1424,828,1873,20,33,14
amtB,743519,803046,830561,790553,476721,970268,3152937,3471267,2703931,868812,1764241,503758,20343,14148,8103,1724073,1288403,3690188,3098997,3396144,20383,26959,14344
ispH,2857,3941,3254,2262,2290,4635,18774,15593,14866,3767,9898,3342,207,176,73,8806,5523,14306,9785,19374,106,157,88
