Bracket Type=4,,
File Name,InjVol,InjVol.norm
200929_Smp_A_3LV_T36,2,2
200929_Blk_Blk_29,2,2
200929_Smp_B_1C_T6,2,2
200929_Smp_B_3LV_T24,2,2
200929_Smp_A_1C_T6,2,2
200929_Blk_Blk_30,2,2
200929_Smp_C_4LGV_T48,2,2
200929_Poo_TruePooMortality_Full3,2,2
200929_Poo_TruePooMortality_Half3,2,1
200929_Blk_Blk_31,2,2
200929_Smp_A_8G_T0,2,2
200929_Smp_C_4LGV_T0,2,2
200929_Smp_E_4LG_T48,2,2
200929_Blk_Blk_32,2,2
200929_Smp_A_3LV_T48,2,2
200929_Smp_C_1C_T42,2,2
200929_Smp_E_2LG_T0,2,2
200929_Blk_Blk_33,2,2
200929_Smp_A_1C_T48,2,2
200929_Smp_A_1C_T12,2,2
200929_Blk_Blk_34,2,2
200929_Smp_C_4LGV_T24,2,2
200929_Smp_E_2LG_T48,2,2
200929_Smp_A_1C_T0,2,2
200929_Blk_Blk_35,2,2
200929_Smp_A_6HV_T48,2,2
200929_Smp_B_4LGV_T24,2,2
200929_Blk_DOM_blk_T48,2,2
200929_Blk_Blk_36,2,2
200929_Smp_A_9V_T0,2,2
200929_Smp_C_6HV_T0,2,2
200929_Smp_B_1C_T0,2,2
200929_Blk_Blk_37,2,2
200929_Smp_A_4LGV_T24,2,2
200929_Smp_A_3LV_T0,2,2
200929_Smp_B_3LV_T0,2,2
200929_Blk_Blk_38,2,2
200929_Poo_TruePooMortality_Full4,2,2
200929_Poo_TruePooMortality_Half4,2,1
200929_Blk_Blk_39,2,2
200929_Poo_TruePooMortality_DDApos20,2,2
200929_Poo_TruePooMortality_DDAneg20,2,2
200929_Poo_TruePooMortality_DDApos35,2,2
200929_Blk_Blk_40,2,2
200929_Poo_TruePooMortality_DDAneg35,2,2
200929_Poo_TruePooMortality_DDApos50,2,2
200929_Poo_TruePooMortality_DDAneg50,2,2
200929_Blk_Blk_41,2,2
200929_Std_H2OinMatrix_2,2,2
200929_Std_4uMStdsMix1InH2O_2,2,2
200929_Std_4uMStdsMix2InH2O_2,2,2
200929_Std_4uMStdsMix1InMatrix_2,2,2
200929_Std_4uMStdsMix2InMatrix_2,2,2
200929_Blk_Blk_42,2,2
200929_Blk_Blk_43,2,2
