mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
147.04401_9.569	1257.5318077134345	2466.050096375775	2156.371331002806	2662.7679567146574	2381.0013589397495	5604.938574275616	2478.0109735596943	6516.020671622823	1889.940536963053	1029.5033282003383	1324.4560468521986	2784.012097097998	5536.324665534744	4953.973022299968	1276.7966781248886	1327.3577441273912	345.2472565364733	3577.3187707053116	3791.423500339864	671.5277925123377	2720.530556999332	2213.4002742173634	3729.9205612669157	3008.144750848876	8413.489038977043	3763.1211649479287	6002.356715384209	2618.640124476958	1079.664435985105	1862.0684520281911	3536.0101645151285	6474.1802717280225	4759.64500975242	913.8147615678059	1494.5885396146232	802.8309483776834	5113.546282312455	3708.413105602138	1734.550237994157	4059.1476820422045	2570.1214027445067	3954.557099673153	4377.0918204550135	6175.815111396279	6811.951484275702	9596.701041978704	1740.7799606324718	1559.885221267029	11031.634113415901	13102.939336338704	7451.53691579052	108195.06744250703	1754.6045182271876	2964.6738698919426	3483.147451696967	3725.4364056519476	2229.5419236212374
147.07626_11.233	1209294.515887427	3195337.385400229	7176093.391500964	2381746.710876669	2511866.3391380343	2983239.9423411405	10605827.36004386	5091032.3416102305	1019612.5092295341	1463596.6236361098	824778.020108905	2183808.672415308	3587351.019116466	5104340.343749494	1334195.0461077904	1213687.3003666343	1801074.8480681458	1435355.3596577733	1086414.7982124721	1479184.4480853507	1524032.1599943119	6227970.784341406	3378858.4134573597	2907528.3841044153	6420153.260371997	12848195.311982784	12010536.770553969	961166.2258556389	983727.6613413638	1296666.5606821817	3712478.681997944	3228636.774617007	4692447.827367259	1741369.6099216267	1243914.5857697213	2499979.061192137	2427671.288411401	1144211.0668227419	1904489.2303353385	2830881.7179913046	6056101.7322979625	4366572.418506392	4019385.4093900467	4206648.299043575	11985298.785447715	5250518.484021517	1446104.2691800096	1690234.0917286288	3445409.430471788	4436190.765548715	4952825.691854391	15244740.034982346	2887957.3084378946	3337771.743363796	4626270.809351476	1688772.6135890267	1054950.5060449427
147.11264_19.803	49662.934886924915	49527.16082468516	55038.44848321464	41236.83058679062	62440.9398095349	48167.64243411826	69607.48659428819	66136.21301694875	51288.281214897215	47936.52388878919	53936.9691202912	42598.04614592597	49143.673871016435	85260.60890689543	48305.85658929429	51496.73616651422	31121.311148017277	52393.20344956807	42972.668623563906	50051.55581318178	53453.29234835449	58001.17477347632	53151.03738551993	55202.031616024244	73931.21466129657	70822.05301179449	73691.64859801371	52767.68681420706	48292.261750260375	63374.25636376057	47417.4943708028	80416.04812509529	80114.65561736787	46973.87932764047	50079.43304262359	39710.81257534082	38985.82046746235	59113.00426487324	58460.68484703422	65704.71915750355	70863.94493626253	54789.7156825835	65660.67139359392	69011.63377328646	85996.87724806776	115527.84200542484	51857.23185148803	48490.84887073228	63025.91929328723	52679.47287958804	100513.15211352654	1324894.0197341088	54119.37316155885	74376.68273398516	61051.510320550035	51280.26581439173	39366.88049831838
147.59549_11.209	6142.52341400217	15506.531712675243	9933.08969189622	10941.57621941551	9579.142748203818	14095.15411304982	16172.153756132207	22460.812591219044	5254.998239548806	5575.919836094296	5577.792801771113	10213.335096654042	12499.63483963298	8514.525065704722	5913.8951586532385	4445.40262619422	1314.361379999469	480.9445417095131	5181.790713371436	6804.07956211806	5970.766064674559	8607.055512651998	12876.602653068532	13573.993357382862	15361.773113851208	15484.871214543286	29221.6755482757	5170.091223228562	6815.374976926491	6341.335567028296	11645.301983355348	8761.813063940086	43.87767803098659	5645.993217505041	3694.902966915927	3500.080594363149	4288.955392250223	4331.57030171662	13132.722401761535	12635.887960804324	12481.226153637317	19390.349622424113	16801.444808257154	21867.840855961254	19396.388971622517	24813.66138996222	6667.246431396009	9987.080479100005	15882.298827733854	17783.700983301045	12948.885585118116	58.007929726729216	12663.844064429462	6693.163500093285	5984.925586730662	4065.6505577355024	2408.6661368042314
148.04256_11.174	7578.858504915351	4783.192011256562	4334.222613880509	9389.11713587736	1626.2474448822752	3584.1070544668196	1811.614197535816	6973.8599328468235	5556.608231408654	1219.8877086897687	2983.4207041651	9143.339787395003	11374.795373285808	7370.687054503314	6375.550474599694	949.4873552156337	6534.940355784181	1918.1437950875618	6967.8824833432745	1777.4134382898126	2532.997766077092	1009.1092345755147	6232.22823234768	1986.8174560970358	22816.733146949555	3642.6210139754385	21132.356968471304	2862.8967723687224	1691.8705342817705	4621.860049061559	6589.237994841592	27265.890963598733	2453.2686723842153	4925.570830012837	4656.4607528977795	5414.332043945041	6881.950135388369	6017.63600862188	5521.853603444383	9281.622752211922	9088.468937971664	13310.128985068503	8287.233292052433	18900.20622002581	6862.359304176677	14966.067137950315	1908.0723685143014	4820.747624128011	18979.68586985812	15268.813905201438	23025.59652382169	45385.94846758721	2925.264162587096	2874.38728466184	9129.134366420927	19136.95777069725	7211.1044176877695
148.06003_11.224	10361323.17121459	21686449.126033105	14419046.224843876	13617961.121958774	15920705.29283968	19461526.527619544	21733390.11216956	29910973.228739362	10238823.339934267	9364375.16933765	7945714.018533966	13053122.477479018	16120379.440488564	12823229.639520325	8967197.988534873	7071267.503597033	5119920.681540937	594527.1287320714	7118536.723663005	9788669.59909823	8281969.086956298	13163953.355641522	15997583.762028603	19035548.750696946	18402400.875311285	23369334.494269714	37675075.87784782	8411598.098648224	11166160.967482882	8848849.30646063	19036871.681545924	12454978.096910471	12290463.311041337	8463777.635482403	5965496.398836878	5922341.4609240135	521669.4956748397	855748.1047909493	15389301.924310299	22036409.342194773	16506712.619830325	26971006.283971734	23899464.858619526	29105376.326365992	28402362.53329219	32120124.394972682	9680261.23377217	13150419.58458226	21897440.71630789	25563431.55123116	18399768.891383428	2113281.6939505097	18831399.95821043	11309461.347129313	9167342.63873387	5736581.954769528	3903242.8126175622
148.19348_11.288	4964.24	10584.68	4372.16	4421.12	7754.28	7489.3533333333335	8360.4	14375.6	3292.92	4214.18	1230.96	5866.36	5595.766666666666	4388.11	3978.52	1708.88	1671.93	2472.826666666667	1832.46	3334.12	1489.08	5031.36	7640.8	9876.86	7194.946666666667	8557.12	15369.11	2543.26	83.38	2242.06	8152.5	5151.7	4037.41	1763.56	2045.32	1600.24	2743.277777777778	3191	7347.98	10952.34	9159.04	13799.55	13095.76	12282.67	11219.4	16999.66	2306.48	6193.24	11928.12	12447.4	7779.12	0	5090.3	4583.28	4318.04	1767.52	1611.46
148.5274_11.24	6120.828251573361	14816.32215343105	9612.767456043755	10541.11818197653	9386.181460428623	7452.1400185772545	15340.026072188239	21632.88306200951	5342.95719339995	4276.910792952721	5173.933739488629	9797.392334135435	12243.65934031942	8499.361798616681	4942.428509450907	3466.712673328753	898.3082473211751	5292.86408278763	4723.027268145661	6264.315395084119	5721.818373197133	8154.482627687226	12512.168054589409	13661.12763500141	14229.871396921051	15168.61290355236	27677.628706641066	4606.069463339001	6733.710877548121	5372.568843954352	10861.862054225589	8561.0272693531	8956.202408334611	5153.659507154208	2943.3173278769896	3825.4456443807658	4080.910614084544	3695.3055284164175	11515.732255416155	13315.18190972175	12204.645493360162	19168.761534259083	14949.496201104417	20941.561892794474	19160.888091059776	22254.520986269355	6465.315356649491	9093.383202056673	14739.384465901554	15550.128561126203	12469.658498216282	0	11894.586202261991	6890.329325317246	6293.024714377837	3926.526609384875	2380.8170052126325
150.05827_8.087	1179.8	2601.74	5639.78	8071.05	21283.38	40680.693333333336	12514.84	88548.91	156.22	1137.98	10522.38	26010.33	108730.33333333333	188747.14	971.32	806.22	2096.82	129970.84	88698.97	192.9	7883.08	1731.16	6976.69	5262.4	129279.41333333333	5159.68	89590.72	2496.22	179.84	5863.76	41294.63	212663.93333333332	195163.54	6776.96	1985.24	20213.84	174467.71851851852	105583.34	9528.56	24303.02	30768.84	53303.52	8900.02	88915.08	81734.58	134576.99	7716.72	3192.32	4034.72	38501.64	146300.54	1154118.64	3924.92	39180.48	81044.92	124356.81	67424.21
151.04765_11.19	7141.56981834037	15720.32727929137	54802.94129166934	6257.583102662987	11409.184412917932	38.59094956001393	35239.27891112819	8248.92556189434	5037.430657005365	9134.478693502842	5269.888972910305	15693.395286538087	405.24026870491133	13831.18882206152	16104.5186156248	9748.615758549382	7883.277994244585	5567.700957895523	3954.735977190113	9304.15788145874	7371.15384109934	41237.85786256378	10186.539301371133	15531.805386237344	2543.4222827233125	51756.28380628124	7211.895183280077	6210.492370426396	4544.784679744046	6353.038139680025	7743.05688638801	2135.2242695605582	19638.513162586194	11083.291054547231	6525.412044519223	8657.4331552384	1694.378416410084	3791.183550337993	27409.84241969378	36182.57106406753	48247.66581156698	14215.910775332304	40105.435273943534	3159.850422627879	39763.159857523744	7818.024561192072	12400.462050943675	12374.863859490455	30155.767026834743	16549.85409907452	6384.9429053463755	67339.38779159331	17476.62373906528	18412.676971272136	9671.261950828048	4049.2421137785545	4060.425032078622
