mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
295.0712_1.091	539.4850255758995	0	885.424044415808	585.3937111122847	0	6155.340069044352	2004.0366467046824	2164.4999701846814	822.1205273272601	720.6170097336153	908.3526530197979	1056.379304437661	8284.311171990163	6285.142601919809	869.3354782164945	832.5896320216858	901.2204002924326	49542.252671016904	48187.50634376062	919.0371387319382	1914.9129096599768	1819.8705075106916	498.049112092506	2947.612392423107	2172.240962641588	702.4839980029901	6568.905781892969	198.3165724782379	656.117030868645	1511.3448884375416	1619.2397499713109	19414.54035802164	58129.72655748088	0	1589.6040453376847	2202.0240328466716	22086.859982268346	12800.459346370071	597.0752995952904	1297.6666561351353	1180.4479596833933	3236.047199757705	2988.491889024377	6075.7603536653805	393.45350741273086	8484.301056214872	639.5073526675409	1372.8640662844691	441.71840512842374	7508.396873308667	14230.67675679909	1205.741565396136	1534.0577377874454	1945.087614500192	10711.131607807825	20811.573323667988	29065.561897720305
295.09604_1.059	147.00877997560727	781.399805130693	0	1495.247805985136	1632.2716476549278	3237.41807439761	454.8292566235188	4526.176817562538	136.4802691398969	0	198.39292357247942	752.3159267719122	12004.284512663013	14830.532948832653	276.7737632551987	85.39087031732231	1359.3255244672714	646.159591113128	185.3324428023324	109.96278165356922	0	200.08443312095423	1066.2218069989901	623.3321897292458	14949.546382788556	2323.408292803542	5803.827350297713	211.79072056284713	62.601304584310974	0	2163.0199424313423	15985.04095002063	2977.4386438461474	0	262.61203759276486	2888.2505707972327	2479.2866410462593	366.2930955585071	280.58198414500526	1037.9566127341773	1795.6827561255193	1678.7446167226421	0	9063.587308932496	2809.907087361473	4758.441942594498	949.8285279318408	254.18394823006426	900.3886986680316	1491.9827825131988	14421.41445499931	434.19697954018176	1023.3237203585836	1455.963636422081	836.8396821939707	1744.164149695778	296.74462945386074
295.12915_1.876	1269.1946770928132	3157.788761282073	2884.997835025559	4683.571563870252	21241.611761419656	5881.497630102509	5649.317294985035	11600.901156357442	2087.594877569741	882.2129942155893	811.7428420698664	11088.425782450215	3531.1989642349004	21475.470632472636	1475.4371925531073	2329.5736065652372	2696.3710329222454	2366.2008428594377	1409.3142128359864	2278.083480153925	1864.2570276972722	3757.6601294511656	5693.941384792368	5115.655551242038	4356.135574419274	18911.938495259175	9019.546594359232	3137.8165274091457	1299.8080042555669	2507.07661559776	4339.907054472952	4078.1770627935725	12331.913347701742	755.4817880493849	2050.842773103115	3631.9108637326367	5402.475869975999	1626.6148121572414	3011.116301838888	6179.542982446667	3605.4685622539896	5825.114258096657	12394.154904424206	9403.632532248237	3872.588897422817	23145.19830922266	1873.8890094505944	3675.727557322582	5188.515480317345	14044.323382163124	5679.16736084781	20484.621233399826	4677.404542387266	3285.508257099003	3145.1299064017176	12055.53673300005	2411.526792111881
295.16559_2.706	122.18	100.06	137.5	1051.74	71.86	2293.133333333333	1357.1	1666.95	54.92	110.96	0	514.57	2158.6133333333332	4191.88	44.64	0	568.77	2134.93	2607.72	39.46	187.36	185.64	1069.36	612.14	1864.6033333333332	81.78	2587	217.6	51.4	36.36	1009.4	6141.37	2807.63	0	95.54	899.42	6758.922222222222	1945.39	198.12	99.06	226.18	1365.16	367.16	3337.01	2445.06	2792.54	40.24	139.26	226.24	952.32	3752.76	116358.49	146.12	217.58	2301.26	893.77	1381.86
296.1358_1.997	54.98497996133683	504.63776468726604	242.75351228639906	1048.168003545784	172.34642529468385	1299.2537169794532	2759.8080388563485	1507.5660690705931	39.99228166133714	47.85364643611223	496.3923827964889	735.3033712706889	0	1443.542102479573	0	479.5061227986737	468.158795548921	1690.137916446852	2056.3761979055976	87.85987911960093	431.28446281329866	240.43837256222804	883.1715989193754	377.88104953778287	1224.981123162992	1424.2490613174473	3188.0185637572367	86.43352539667427	80.66328664509032	1111.2810207677906	932.1097818903621	2592.810927292749	1836.0185316585332	0	453.2491854267274	657.4813590169164	1821.965250381409	9252.708496898626	463.9925215815749	834.0233002693724	1210.721969776013	552.4525918668239	183.3054748667916	2426.48940641922	1362.1441241206908	1254.16597342517	838.3553039902727	42.3041663935215	839.5786195370702	617.1542926743144	3290.5428886611826	2066.3240453745443	585.4516998222642	2773.324494858744	772.5192055253538	2684.6594840497974	761.3896437510878
296.60577_1.368	33023.085232473415	115841.89210885746	92731.4463343025	45098.77200408772	0	27934.497161161795	89232.83181995856	8255.126339133662	19460.493102980647	24921.053015739762	55576.85802254098	163121.26833817526	18743.15545826259	0	94945.31266981736	16339.727998863598	9454.6063402571	9357.880083116417	4829.911293542126	41254.730541559584	35918.35189164263	1060.0513697215076	86850.40101135285	151251.96715907834	0	0	32267.656088374893	0	34264.866753247894	45302.62478705676	78566.55923028618	8910.176150470224	28616.543786727143	0	28029.678287948584	8785.859569511278	144.63721509749732	21100.723906137635	98832.15524045046	117060.65129134266	102493.66544986483	65977.15063284709	222142.4771495572	61407.81937373755	0	110641.47395011649	32144.323120221597	47917.63139162712	203737.71593180991	133533.14881867846	39382.68763381523	29724.436049157874	53782.73432319305	67951.13015234034	27670.92459122265	2668.4500268083557	2904.9876337299756
297.20599_9.264	450.36	1406.12	1112.44	7352.78	63	11643.73	3189.96	1633.52	1030	62.94	894.86	12948.22	15408.38	15.66	247.82	3232.82	12039.36	183895.38666666666	55861.36	83.5	3496.34	189.34	6441.91	11497.08	2111.9966666666664	1755.78	12808.04	66.66	228.92	8394.96	6031.3	55785.85	82689.48	105.28	4489.12	5872.13	19265.17037037037	6819.34	627.64	5361.88	1882.64	4480.11	2850.96	4245.19	267.84	9873.24	727.38	1697.48	4400.04	8794.34	6512.97	21262.79	89.32	4343.96	13207.83	2905.11	10839.16
298.09698_2.297	21284.9	31964.5	30300.04	70085.42	30637.6	8488.21	58738.48	118306.95	15899.02	18527.56	16268.42	49716.86	39794.513333333336	7212.58	19474	9667.78	5571.01	569.6933333333334	7989.73	21493.4	26653.26	21511.66	70454.72	49630.64	43708.13	54859.98	113800.34	14180.82	23204.96	21931.8	77226.49	2805.963333333333	11611.37	4286.26	15387.54	8575.46	2718.6	13837.04	41197.4	37682.94	48708.96	72941.96	36962.68	110333.41	60023.6	122053.77	31539.74	37343.5	38115.34	52929.04	41404.71	23498.02	38405.98	21973.48	12376.7	6527.73	11505.02
298.11499_1.666	579.9131439620854	1442.906165248156	1560.8495916038373	1459.7021591122327	1056.2102642409043	2649.2648965176877	2739.2770329064165	2620.759031049824	726.6687400405301	794.0575930705461	662.8243260414562	1191.2391869797273	2533.9462414849854	2567.2918451388864	485.2815636832566	498.9761351264963	476.473032275651	776.5067328040905	1052.4228029547796	762.115563291453	862.1126779365524	1427.3633360848698	1593.8756357770953	1183.8773941392647	2835.1652619324423	2911.6074202076443	3277.4633946921986	591.6161691185655	949.7882153915031	878.220292531627	1497.778988979123	4739.464064361637	1027.9793109666675	0	390.9352197083306	518.8283576891716	971.951765983223	346.13409527964654	1379.7840866787699	1536.317492168193	1835.6950660751775	2353.1206975061773	1245.1451866654318	4543.398378926209	3609.571031787559	4347.501699005749	732.6820747654945	1098.6812041769545	1193.487233291883	2042.1782725887151	5668.214748846663	11304.52929299329	1685.1563773418434	1114.69253293527	751.5237009037359	416.0659708798183	253.1837213614901
298.15121_1.319	0	0	0	411.8091004286048	0	737.685167908855	152.03294760828018	611.4055297141252	0	0	0	591.2463602446235	5059.662812325556	5363.226367647369	0	128.7737096198617	601.2459564633326	4413.633324410157	6752.411360846409	0	0	0	32.202955477290615	0	2003.009984702098	38.615878328917645	979.762774359632	0	0	94.52370523888705	446.3042709303121	8997.319940038973	3796.731247881513	0	131.65959681517316	467.3846591514562	4571.581538047885	5154.352418198726	0	0	40.227542709937964	144.40666016017178	0	1271.939359870935	398.54855798243045	996.5366487504874	0	0	236.66365969984167	391.4088534357316	8314.898631803773	15467.281362396889	56.8523169948061	1557.1198639400902	745.0103545764734	622.8865719932566	816.6622746599521
