mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
223.17001_1.793	0	1292.8823665164634	643.8604132698686	8247.977417077607	0	6071.001137534698	1547.3308089075554	115.61364913557368	0	0	0	9845.839224424992	9646.515569560246	0	275.0526448020398	4135.027847677601	7031.536926622969	1309.3528797836457	663.32993434941	0	3327.6195638335776	311.50535169271336	5525.689450164013	10165.742342739499	713.9789034589863	263.87435648951487	2660.27176075029	0	0	3660.138468189573	3488.9150246472736	20289.431265297135	5315.606590253146	0	6815.680396615021	3830.604967379514	113.99378395369204	0	0	11285.280082605917	0	1369.9891442856365	2325.482807834944	1496.815956859339	0	1389.4617296075357	0	1091.715500556692	1609.3687985227652	1686.6709805236687	3703.9981853380323	1476.4806280063387	270.5414763109152	4156.390650387507	3794.0666305623427	0	0
223.7386_10.558	1724.9945962350737	26526.246183547504	18978.65148784676	9989.257080295827	19566.094375588284	11413.553003249432	21688.37449566517	14326.219570508229	14954.3365472326	1683.1807694715214	15905.285410526933	11117.091727819829	13164.751826787471	2706.9703546619153	1796.5533858577026	9047.53546903438	0	0	0	2610.3072672919534	16336.527048747987	15875.700221227658	9445.943909440657	22344.825875903043	15835.977238145775	24607.227496225154	19336.037763214874	16599.798152115367	6071.663377837532	14896.094674870594	11742.698960631229	7722.083838265424	0	5666.086710408104	8373.648590168192	0	0	0	8418.236706169584	24375.453724132312	17809.002412033733	12519.300970501637	24993.33505237806	24320.014168065292	27742.979677949184	15388.445731249956	12464.850903844384	8801.091236250717	23966.654680072545	12102.87908279954	16623.15487705104	0	13887.979223751458	16501.230620764716	616.745717511146	0	0
225.18561_1.784	4341.415812988805	23605.856225709103	11496.707483662558	254997.16381900266	0	200860.47693413403	20075.301488084962	5910.8305445163705	11733.541324989435	547.1623266503234	13084.88900789143	290444.2065242355	189907.56666538175	106.2033574391686	779.7165102111414	52742.5445420644	147618.7995744965	12017.978608911573	16650.848861598886	0	40217.581618372446	1293.0959488584892	70031.2256128917	399983.4374215584	45005.28185978185	4691.8315117470065	91254.68710578827	0	0	108685.31501250235	96250.11738919075	593841.2243321856	112244.3981163593	1706.3957566983572	199628.30504893072	49743.14788206407	1617.3337410263516	0	0	75219.68137337892	11025.378779624309	38204.12625386009	32480.712499499357	47847.384804687885	1940.8660845161608	12246.922847277021	8665.70620301532	10229.687962906584	26442.134372078363	87518.39192505354	134498.04423976268	6121.994589174309	235.0547941202054	141436.2796480807	35336.42243170799	3038.3158023990522	8411.186308952932
227.13982_2.545	0	0	0	2265.912677231828	457.60903910712767	5163.376544430656	2726.602906575383	9687.384837035595	286.29496444784087	0	0	2178.1526885423273	10215.6818939094	12842.516150448435	0	0	232.5277358475354	10493.801831725565	3869.262291807694	0	0	284.1173109883437	956.023556821358	320.1078182259847	13828.771456136457	552.4217224207889	8345.80981813013	0	0	0	444.51704522889037	17580.208695957586	11520.646385074155	0	299.2884024416249	235.59444365792012	8271.110939098186	6660.973449361639	0	0	1634.083370970312	2074.2134103914013	673.0822600299482	7203.635192855146	3283.559649943386	12611.759008945612	0	279.13688638257406	930.9006714576598	5204.999060914986	10760.26679091696	39375.417725971325	501.03390894160316	875.412080451592	2181.9199860045637	189.19652263191975	472.45144848043145
229.15564_2.174	380.43343460624027	0	0	2539.8758928959455	0	3522.676201357853	746.1721084857329	4646.828574694553	546.8974926615763	7208.13792007923	306.82261816950717	1200.2097319984105	5151.338108120064	12689.393559168724	0	1345.3164723879277	385.78372014279785	8121.72257500458	4287.3592300168	408.89093673490913	0	4511.106588722145	451.9592300641747	1794.6933920811787	5472.443116634465	440.02582869921565	3767.4481053210675	922.4363595361876	1004.379106940466	332.5600254118556	1364.0135584072427	19385.121009875398	9707.531363523416	0	0	1464.5281052188445	18826.61864583642	5977.398130490049	0	2773.1129409394757	0	779.4128342166638	1168.1996723999919	5675.484944034876	5484.116763129243	4126.493747499033	553.9990896304682	237.6400052178709	1228.369302422474	1950.8564155446863	8656.620387284147	2280767.7861352544	387.46962596726974	773.0364647883897	6229.472668592539	2808.202947807977	2489.262771745659
229.18031_1.82	3113.106317348701	10198.72506710788	2471.2391807692534	15537.280115202359	289.85107168173295	11106.865483817486	3845.21797511345	1385.3782105828795	196.47333818277616	1528.4001494024276	4095.747651561893	11653.818911314467	7229.799907569406	0	6214.774900775363	1576.9481696098994	426.50998416365724	230.2781922385035	1677.9729495107197	0	2922.4104916335414	707.9513834012101	6983.098088008471	6933.382154259696	756.6395107045163	0	2953.167691076393	0	364.4928670250704	479.08874207244196	8398.231440465119	4593.141427033861	16464.62274638236	1136.8855421382177	3954.4852238639332	371.011310646894	74.74557872044728	0	1060.5038982763629	21202.33926159359	1206.8463217681624	19281.434173242924	9006.012779017077	28018.261300954753	0	10775.52466033418	7282.958693435465	9832.305888422368	7957.38604530207	9636.27342888126	14654.994782040743	5162.516254804061	551.8506794079295	1732.8685471899093	3964.8470342135274	466.5059208011751	2549.6647696000878
231.09799_12.283	376.51976669818345	5653.527310002229	1529.983217485903	4799.077212359319	1936.603668735397	6558.610083942402	626.1171896097553	11544.255918872119	284.7605942943762	581.3826365021389	194.82546361736803	5371.605585179233	6113.3524044707865	20975.521870852983	4794.90182767098	1092.9192388729944	4662.537154390407	7022.97784096379	16730.29444545432	9255.088624225104	3107.320669788017	331.4851065906652	6483.252382053089	3878.4076163146983	7867.746899609612	7672.376640534878	10966.231988640633	1666.9588176308764	239.92973381527773	4477.868988123985	11648.042018958093	12505.202722996795	20174.263514905913	578.6167318239395	2752.9972229004275	8773.760512027315	14865.7708531752	6911.969235491103	8115.435722941315	13433.992032900891	8665.956698384041	9037.53779606938	7189.164478596684	14441.170346676972	11567.807987360715	17902.945095105635	7133.935031822076	1470.4070091451795	7361.822882626145	10587.328494493635	17414.39309924998	9129.752766737216	5759.807042124847	8886.37081631983	14941.910715619884	16663.433985209605	11677.047169660626
231.13467_2.721	271.4357920169685	0	0	1197.121228101044	429.7462002369003	5624.326586403362	3522.502497537012	8131.7404168163785	0	0	330.68745841634825	242.2788906954902	8391.113277712753	12174.30863496273	0	0	347.1694835124527	8212.590915946668	4024.2479740159256	0	233.5990460022366	2121.641604581786	501.3829531388934	715.8891490250835	11187.684238465066	1395.3329392261846	5710.566495470718	0	255.15614667509885	0	1541.2062357627415	25998.029203972026	8034.936362595298	302.70756599286045	0	1811.9740045232836	18510.911430805776	4407.112508748467	1220.0101128530596	0	418.1298115135604	1828.0777258436472	2328.0220420792975	7219.8876466792935	8038.786875521715	7354.706917276449	0	318.1227004423557	1499.7811738413252	2175.8673342696925	9821.269903343817	1052183.5669549955	0	2442.4600014876805	5990.82380361833	2278.663090924569	2055.007937759288
237.06142_10.469	8235	44451.54	28048.94	18695.13	27384.48	9178.4	30550.68	30303.11	23224.48	7063.22	21292.84	20079.75	14067.93	42219.84	2406.5	20760.5	10850.06	27782.92	41173.97	6442.12	25811.9	21607.96	24454.71	45998.52	38498.47666666667	45319.16	14227.39	24208.2	13705.76	22051.76	22164.48	20872.85	61381.14	2013.06	16335.06	18111.73	25944.225925925926	42000.88	5526.38	45321.92	34468.92	30320.97	53629.3	47178.04	42263.52	36467.07	18644.56	15511	49082.16	28389.6	32470.76	6956.99	21349.26	24062.26	33503.76	19377.64	19890.38
241.08284_3.491	13604.251772097983	13283.59253054319	5355.545118900282	22713.64582666997	10363.53104264799	22573.623604272747	14626.072919088318	18968.38882429507	5508.35902101567	3919.773470023374	28038.892036810485	19203.628321582164	75479.93180053531	46723.52488529397	31345.92251267763	17261.560091667812	19812.429777542624	63382.41336021617	61763.88156588431	16640.00518264579	13586.58100492253	5927.2792578850685	18819.428651603193	36338.785125524046	31430.932846504238	15104.63648423371	21262.910261483426	6065.897455032583	3976.2972558497654	10171.547598888465	16581.295674223744	100630.95460643218	52703.630983411276	18136.917017810723	14794.606256303945	10549.82435418068	78067.44946089257	48631.34263281843	74609.65112651778	25329.802484905467	43362.35718998405	22192.575361282037	19938.70816812048	25421.55337654231	21119.766234739618	25443.28216577256	13902.24776626781	4078.3634050289	34129.18587533263	17224.243250605334	125631.21994693273	12533.375251192921	28401.91142021577	39635.884567639034	32067.253272589	29895.419899940556	21102.682575278763
